AverageAbsQ,AveragePolicySurr,MaxReturn,StdReturn,AverageEsReturn,AverageAbsQYDiff,AverageY,AverageAction,AverageAbsY,Iteration,MinReturn,AverageQLoss,AverageQ,Epoch,StdEsReturn,AverageDiscountedReturn,AverageReturn,MaxEsReturn,PolicyRegParamNorm,QFunRegParamNorm,MinEsReturn
0.00918571,-0.0402428,-0.306881937878,0.00179745403843,17.1371477431,0.0262806880755,0.0116303449074,0.00309122,0.0277921276424,9,-0.312500185659,0.00103808,-0.00179811,9,57.4411487265,-0.0307683406512,-0.308812407114,93.9959016488,10.2749,10.2529,-30.5695673334
0.0823597,-0.0993721,-0.581223893412,0.0119868554368,31.7645680948,0.0872619370464,0.0742299024286,0.00591128,0.0894962493016,10,-0.619167813552,3.84491,0.0613745,10,40.0604127438,-0.0590694625394,-0.590537099047,71.8249808386,12.903,16.7352,-8.29584464894
0.21157,-0.26838,-0.775784718088,4.32988641414e-07,36.3312464145,0.137987118112,0.209449378436,0.00776562,0.209714194196,11,-0.775785938668,4.67409,0.203731,11,37.5665295563,-0.0776528398018,-0.775785552814,73.8977759709,14.7445,24.8124,-1.2352831418
0.298066,-0.356981,-0.517683465088,0.000210479327075,56.9800060454,0.136561973675,0.288280802261,0.00518464,0.293764436906,12,-0.518330458373,3.49751,0.285913,12,41.8491781297,-0.0518437579993,-0.517945845868,90.5629318726,15.2854,32.0476,-2.01537712291
0.350607,-0.405157,-0.356265486537,6.67954050687e-05,57.5928243937,0.124079849189,0.335631214457,0.00356734,0.347780351073,13,-0.356478496541,2.08174,0.331021,13,43.7046069593,-0.03567107401,-0.356377795181,89.4442827491,15.692,38.3685,-4.20503635285
0.433375,-0.480905,-0.156905404083,0.000101780473118,35.9760698023,0.10633523161,0.410448848818,0.0015717,0.426477133253,14,-0.157243050768,0.928152,0.408605,14,40.8598446953,-0.0157151916199,-0.157013024083,76.8359144976,16.2688,42.2244,-4.88377489299
0.563528,-0.612067,-0.0105385598384,7.85613415557e-06,44.5573312267,0.0810668016969,0.535929781239,0.0001056,0.554183197132,15,-0.0105582479467,0.347497,0.536072,15,49.103415612,-0.00105551169377,-0.0105494362809,93.6607468386,17.0771,44.1497,-4.54608438528
0.660232,-0.695683,-0.077455912514,1.71909742536e-05,34.7232900925,0.0568407051129,0.627578238658,0.000775575,0.651103280682,16,-0.0775168434577,0.111396,0.627755,16,56.2842110433,-0.00775539257987,-0.0774799866029,91.0075011359,17.6981,45.1652,-21.5609209508
0.730077,-0.755188,-0.00097843627223,0.00648268979384,32.5837004703,0.0404272507689,0.69349835293,5.91064e-05,0.72215463745,17,-0.0202299455885,0.0490865,0.693187,17,51.1284007829,-0.000354095073054,-0.00590472409606,83.7121012532,18.8533,46.5643,-18.5447003126
0.856849,-0.87977,-0.385982348704,0.0201894998132,53.7887326973,0.0344533384039,0.8223986926,0.00409568,0.852102225565,18,-0.44687409139,0.033348,0.821727,18,47.3785170968,-0.040077616208,-0.409158577358,89.4689512983,20.4205,48.5625,-13.1663165286
0.968125,-0.993837,-0.0175413646401,0.0126426845905,36.7499455555,0.0400145542412,0.934477814759,0.000277409,0.964704730905,19,-0.0492183038636,0.0688655,0.933736,19,40.2040816335,-0.00189236330865,-0.0277132063173,76.954027189,21.5558,51.031,-3.45413607805
1.11623,-1.13525,-0.592807161929,0.0225933842387,65.4985046292,0.0683324005395,1.07830033166,0.0060905,1.10851095457,20,-0.671905749743,0.36093,1.0777,20,41.8171018566,-0.0602792311835,-0.608441050469,93.4746306743,22.1818,52.636,-6.81429141184
1.22211,-1.24105,-0.0144541004312,0.0280228292685,36.1211440323,0.0702251108581,1.18037873948,0.000392379,1.21420705557,21,-0.103868409288,0.369853,1.17904,21,36.4265492928,-0.00232198104249,-0.0391986518053,72.5476933251,22.6231,54.2436,-0.305405260527
1.2889,-1.31527,-0.094778940383,0.0283495834839,-6.07392571197,0.0689073676549,1.24666763569,0.00114972,1.28111541392,22,-0.188445029146,0.382989,1.2456,22,0.0,-0.0103677226903,-0.11485679259,-6.07392571197,23.0212,55.4862,-6.07392571197
1.47109,-1.50639,-0.0707294721939,0.00369530117038,61.1717059983,0.0648752494369,1.43360531905,0.000758656,1.46440663355,23,-0.0814213927598,0.305477,1.43191,23,51.3446204171,-0.00767756611025,-0.075789585913,92.9293712115,23.5777,57.5993,-27.7307212736
1.64108,-1.68165,-0.131336902582,0.0606756486585,57.1749102754,0.0828515779662,1.60106584795,0.00188292,1.63180361531,24,-0.331021904628,0.518414,1.60021,24,44.4578868662,-0.0154939519659,-0.188103251853,89.9079511652,23.9469,58.9495,-5.67995905922
1.90882,-1.95526,-0.0057906207332,0.0210114039335,72.5683429612,0.0865470955948,1.8696408405,0.000317675,1.89976482638,25,-0.0721054541645,0.412301,1.86802,25,38.184602209,-0.00133340793788,-0.0317357371493,93.4896912799,24.4071,61.0257,-3.75115612207
