MaxEsReturn,QFunRegParamNorm,MinReturn,Iteration,AverageAbsQ,AverageAbsY,PolicyRegParamNorm,AverageReturn,AveragePolicySurr,StdReturn,AverageDiscountedReturn,AverageAction,StdEsReturn,MinEsReturn,AverageY,AverageAbsQYDiff,AverageQ,AverageEsReturn,Epoch,AverageQLoss,MaxReturn
58.7801686266,11.13,9.08821629581,9,0.301796,1.5014422674,11.2297,9.20489471428,-0.0183962,0.0463172156227,8.78161554509,0.217905,6.63004910798,1.27759500808,1.5014422674,1.74351118792,-0.242069,9.79192305417,9,3.42595,9.34364015867
31.6501416429,11.4306,5.08684363521,10,1.17597,1.18853605648,12.4085,5.2986517789,-1.24243,0.0436838439568,5.13748107756,0.954137,3.3690085399,3.05008920355,1.17509601711,0.121378705228,1.16584,5.40196140461,10,0.0550598,5.41159461706
52.3391987471,11.7757,36.6407249134,11,1.38645,1.38649685941,13.1506,38.8321843861,-1.43248,0.904443629092,34.505984575,0.999999,15.0398757225,4.92539088728,1.36562683548,0.0691263338981,1.36504,16.381877804,11,0.0128654,40.7308217675
57.6574864229,12.735,36.5461209555,12,2.05902,2.05897956282,13.1589,38.8267387448,-2.30087,0.967608523468,34.5013842375,1.0,7.16949902174,3.04772688158,2.02979731732,0.100891169927,2.02875,40.7308751395,12,0.0409889,40.7953250016
74.7808356814,14.224,36.798647148,13,3.05921,3.05971920872,13.1648,38.7841149851,-3.40149,0.92539482811,34.4674270433,1.0,7.80224819742,11.6043133037,3.03107138781,0.147837167747,3.02966,42.231769795,13,0.101078,40.8268146365
66.7192950395,15.8964,36.6837232972,14,4.1631,4.16284815549,13.1705,38.7785947926,-4.61125,0.930769501499,34.4634499238,1.0,6.63220810619,18.1808890203,4.13701074463,0.187351934339,4.13576,41.414781601,14,0.160171,40.7739091509
59.3091879645,17.4006,36.6774028415,15,5.34703,5.34660539213,13.1759,38.8130738229,-5.89089,0.930735454765,34.4917566872,1.0,6.92531613349,5.29153881682,5.3247986902,0.21798773014,5.32339,40.3539561889,15,0.201188,41.9704696346
53.657114866,18.6237,36.6223360094,16,6.61135,6.60984524318,13.1819,38.8185816145,-7.28388,0.981868368646,34.4954528592,1.0,3.37274453645,34.1015150911,6.58938580411,0.227379951538,6.58799,41.3365783423,16,0.204505,40.7501009511
58.6911982904,19.6256,36.7129103621,17,7.97112,7.96941449965,13.1872,38.8220902598,-8.74528,0.912201520115,34.4973217969,1.0,5.42325184363,17.6918585791,7.95269869298,0.242380738732,7.95141,41.1809160122,17,0.236632,40.7243755091
71.316946066,20.5038,36.7407282983,18,9.29467,9.29271479382,13.1917,38.85425077,-10.1679,0.907011731339,34.5230142128,1.0,5.68961609581,35.52807715,9.27915329615,0.262327275183,9.27748,41.9599852812,18,0.25924,40.6775235906
68.702662593,21.3937,36.6225667006,19,10.6428,10.6396371104,13.1951,38.7332828828,-11.5725,0.886500553333,34.4277311952,1.0,7.00147421989,13.2467662297,10.6272564179,0.280963245308,10.6261,41.0161044564,19,0.29378,40.6066837583
54.35868946,22.2835,36.7612689515,20,11.9602,11.9562282869,13.199,38.8702181215,-12.9412,0.98044917993,34.5369264061,1.0,3.77301906892,30.245997872,11.9461891987,0.293484852986,11.9452,41.2166813223,20,0.271774,40.6752770018
47.3931512309,23.21,36.699574785,21,13.2631,13.2591864732,13.2024,38.7166812931,-14.302,0.929738919463,34.4166204173,1.0,3.80727178256,20.5159333851,13.24956836,0.325359504575,13.248,39.9625382546,21,0.363242,40.7438598613
54.7183126391,24.0094,36.6988639315,22,14.522,14.5174055923,13.2071,38.8167894793,-15.6041,0.899971760872,34.4940668212,1.0,3.62005855214,32.2221065855,14.507451496,0.338610622909,14.5061,41.2150081787,22,0.383522,40.7875602887
56.0682746754,24.9997,36.7289872735,23,15.6473,15.6415678756,13.2122,38.8555710654,-16.7484,0.959581562683,34.5249859903,1.0,3.16252633741,32.0841794443,15.6329735567,0.376094391347,15.6316,40.2775495408,23,0.504289,40.7424125287
52.0837073925,25.8211,36.6763064572,24,16.7423,16.7372838283,13.2158,38.80201976,-17.8829,0.958881548861,34.482086481,1.0,4.81424347994,19.6807499541,16.7288286483,0.37994095528,16.7268,40.8856384591,24,0.453899,40.7057988672
53.8361811699,26.7253,36.6902264199,25,17.8076,17.8014461549,13.2188,38.7075791101,-18.9377,0.913812856723,34.4082979068,1.0,4.74157461215,28.1959100018,17.7934501601,0.395960550386,17.7926,41.927730997,25,0.495587,40.7881311385
59.3805719944,27.5417,36.5674750751,26,18.6804,18.6748813368,13.221,38.8398521501,-19.7928,0.991266176705,34.5128069711,1.0,3.83785522956,31.6721407095,18.6677723369,0.421061099659,18.666,40.7620495241,26,0.57295,40.7442593051
80.6059834801,28.3121,36.678883269,27,19.4876,19.480519581,13.2229,38.7158226873,-20.5731,0.933890656614,34.415410468,1.0,8.17757197383,10.8801807206,19.4739678967,0.439257649068,19.4727,41.2209893013,27,0.67278,40.7157461145
55.5002629632,29.0915,36.577241707,28,20.0315,20.0249727999,13.2244,38.7983881427,-21.0994,0.933863051787,34.4782047784,1.0,5.83230503317,9.73880798753,20.019374514,0.434078673044,20.018,40.476495795,28,0.628633,40.7104013627
54.4419498395,29.8415,36.5685148128,29,20.6963,20.6891835189,13.2254,38.8159818056,-21.7102,0.941669151295,34.4936061956,1.0,6.95570489389,5.24008966933,20.683454172,0.439808342855,20.6822,41.1407752456,29,0.676983,40.6445181391
61.1699206427,30.4658,36.6742198214,30,21.1513,21.144384401,13.2262,38.8000072563,-22.0978,0.92334737307,34.480680649,1.0,4.26458093859,31.3259867166,21.1395547822,0.428329013475,21.139,41.1352196716,30,0.552897,40.6748493574
84.0907381083,31.0973,36.6953935788,31,21.6798,21.6730377295,13.2264,38.8193738756,-22.5875,0.91121023617,34.495808872,1.0,8.39823144577,34.4275006024,21.6687888923,0.444484310259,21.6678,41.402166125,31,0.645899,40.6349471887
52.708984386,31.7242,36.7352128923,32,21.8025,21.7960127112,13.227,38.7089855918,-22.6874,0.912402587378,34.4097987808,1.0,3.22439653767,34.072875203,21.7925008101,0.456016445499,21.7909,40.784569759,32,0.707499,40.7334161105
57.3174593092,32.1968,36.6397272554,33,22.0092,22.0032463255,13.2271,38.7472334832,-22.8049,0.890346155929,34.4403775271,1.0,7.60062755758,4.19354037978,22.0000543126,0.454500714892,21.9995,41.3073042489,33,0.68508,40.7078942525
83.7116932862,32.7411,36.5822946609,34,22.1666,22.1611148669,13.2282,38.7580761001,-22.8964,0.908678038379,34.4496404812,1.0,7.44493677483,33.7825388287,22.1579558753,0.456287563348,22.1571,42.2531758004,34,0.786103,40.680941516
66.5697998654,33.1828,36.6679367192,35,22.1866,22.1805936092,13.2282,38.7286359869,-22.8639,0.962926303329,34.4255738008,1.0,8.55720944279,5.2156815035,22.1779111925,0.435349390069,22.1771,42.3674864466,35,0.592267,40.8170189259
90.3076798884,33.6298,36.6209372312,36,22.2468,22.2394128067,13.2282,38.8116481572,-22.862,0.874561086952,34.4902037689,1.0,10.4010854922,18.2319448244,22.2365301526,0.459721776147,22.2362,43.0504581802,36,0.780204,40.8282249519
74.4276335217,33.9977,36.7076849292,37,22.233,22.2277043147,13.2282,38.8110085468,-22.8152,0.931700431731,34.4884976355,1.0,7.6924974518,14.6701830573,22.2246139769,0.452310702445,22.2235,41.9709598652,37,0.724413,40.7286407079
62.9546977249,34.3948,36.7253656285,38,22.1712,22.1658644015,13.2282,38.8583598362,-22.7641,0.884119066577,34.5277705589,1.0,9.10508443351,8.42533321843,22.1622851581,0.45044510386,22.1618,40.9522620641,38,0.706354,40.7576065524
