Iteration,MinEsReturn,StdEsReturn,AverageAction,MaxEsReturn,AverageAbsQ,AverageQ,AverageEsReturn,AveragePolicySurr,QFunRegParamNorm,AverageReturn,AverageY,MinReturn,AverageQLoss,AverageAbsY,PolicyRegParamNorm,StdReturn,MaxReturn,AverageAbsQYDiff,Epoch,AverageDiscountedReturn
9,-18.5931371112,3.2967014191,0.562515,-0.233194544985,0.561463,0.260998,-9.67376460298,-0.848778,11.5833,-8.13294181996,2.87218022827,-8.25219891693,9.37787,2.87489168804,11.7818,0.0373617460613,-8.02908774458,2.88027365311,9,-7.53496919153
10,-16.1134483039,1.72245894935,0.999901,-2.61709128756,1.67591,1.67074,-7.69838079178,-2.5437,11.8774,-8.33282249792,1.68194825846,-8.53044333252,0.36756,1.68485131444,12.5273,0.0823191776349,-8.10800310894,0.38992489616,10,-8.04379879033
11,-12.855858228,1.72290138331,0.999999,0.287808499172,1.32431,1.30787,-7.36731481721,-1.72737,12.0116,-8.0927253455,1.31261473243,-8.25157661329,0.0579903,1.31582358865,12.8324,0.0651253504458,-7.93022385166,0.173257896059,11,-7.81543400836
12,-15.003800525,1.8217741363,0.999999,-4.06022978647,1.34099,1.32219,-7.37396122877,-1.55392,12.1672,-8.0907234265,1.32442570021,-8.25975139728,0.0337692,1.3298364077,12.8357,0.0638332543605,-7.9333360348,0.137406731833,12,-7.81350625789
13,-12.9683265098,2.36569163562,0.999994,6.09187195993,1.15367,1.12446,-6.71038925488,-1.4143,12.3614,-6.7409990062,1.1254134439,-7.15553284729,0.0251286,1.14901631554,12.9827,0.133155011672,-6.32848338686,0.12069127499,13,-6.30840911909
14,-6.96904044747,2.18756238405,0.999982,9.26116176209,1.13224,1.10288,-5.1844760584,-1.41281,12.5335,-6.74443122779,1.10407023174,-7.15970438567,0.0237521,1.12830066456,12.987,0.132641743843,-6.35373305595,0.115358800379,14,-6.31155546703
15,-42.1448397709,10.3776217349,1.0,3.1380343215,1.26264,1.24999,-10.1059174452,-1.87184,12.7664,-8.53881988558,1.25148470223,-11.6017579408,0.0218851,1.26078013254,13.4398,1.41267945931,-5.42755968216,0.109517316376,15,-5.21654153629
16,-39.1345754097,11.4962646589,1.0,1.53730123031,1.6087,1.6036,-14.683017584,-2.18811,12.992,-8.5527404406,1.60467119238,-11.0787115666,0.0185907,1.60787268886,13.491,1.28607299667,-5.59613428974,0.0980721582932,16,-5.22704080601
17,-22.6139380239,4.90101673495,0.9384,-5.44327185346,1.79199,1.7861,-10.2241428932,-2.29827,13.2738,-8.77420290318,1.78701819684,-11.6638336327,0.0165289,1.79056493741,14.2156,1.31921667847,-5.84457524373,0.0911075426897,17,-5.98544381932
18,-11.9620805422,1.68934440779,0.959782,-5.94054957239,1.92867,1.92031,-9.09786574285,-2.3499,13.5497,-9.18779711075,1.92113040573,-11.6901414714,0.016935,1.92700386962,14.7782,1.24724873128,-6.44352255376,0.0910563746036,18,-6.1092874101
