AverageDiscountedReturn,AverageQLoss,MaxEsReturn,AverageQ,MinEsReturn,QFunRegParamNorm,MaxReturn,PolicyRegParamNorm,AveragePolicySurr,AverageAbsY,AverageAbsQYDiff,AverageReturn,AverageAction,Iteration,AverageEsReturn,StdEsReturn,AverageY,AverageAbsQ,MinReturn,Epoch,StdReturn
0.00968130312318,0.00338128,90.2024263807,0.21051,-13.7587189955,28.5511,97.0883676928,21.3975,-0.225246,0.242764232119,0.0141182709286,48.1838938372,0.0200343,28,54.4542045813,48.252444381,0.210586937567,0.243778,-0.253721691987,28,48.3947087346
-0.140481156808,0.00314914,92.7335218649,0.238034,-3.84180971283,29.4428,94.6688943587,21.8319,-0.255756,0.268834810182,0.0143038905534,40.2866724897,0.0533771,29,72.4835609306,38.1753906986,0.238093876921,0.269851,-5.41373466998,29,47.0342495403
-0.130994169388,0.00688936,97.259247549,0.271604,88.956552231,30.1702,-1.28668191451,22.2211,-0.29093,0.29869950123,0.0175482806067,-1.30291106671,0.0130422,30,92.9909694974,2.80110980196,0.271625866967,0.301703,-1.31671933313,30,0.00879562573323
-0.173072723263,0.0031487,94.305532513,0.329595,-4.1282801774,31.0476,-1.72084963867,22.7166,-0.352239,0.353553096417,0.0164012854034,-1.72858897877,0.0173032,31,73.3451471357,38.7918457711,0.329595949791,0.355979,-1.73314222891,31,0.00355408443366
-0.0215181201318,0.0129401,95.0916102312,0.355989,-4.64455644573,31.6092,-0.21170882303,23.1883,-0.381358,0.377294789542,0.0227967220742,-0.21635899086,0.00216576,32,72.2434570889,38.50193098,0.356036097125,0.381974,-0.218717959022,32,0.00291605150845
-0.238439525314,0.00315138,93.7095145196,0.382952,-0.420055423547,32.3654,-2.38313407844,23.5903,-0.410905,0.400327559882,0.0196524954694,-2.38847035315,0.0239086,33,60.1802038957,42.9318932098,0.382829600516,0.403742,-2.39193224654,33,0.00372717352483
-0.342744302325,0.00992377,94.9745619374,0.43561,-14.6305064948,33.02,-3.42458403729,24.0389,-0.46647,0.450906843511,0.0238746321169,-3.43272924061,0.0343617,34,70.9672730074,42.8599525496,0.435703702731,0.455142,-3.43996875495,34,0.00537121389026
-0.956064746726,0.0103812,94.1502148916,0.482446,-6.18882944934,33.6369,-9.5960497032,24.4613,-0.517294,0.496469490279,0.0217890718769,-9.65013440019,0.0965979,35,64.6011957085,41.0687659981,0.482413613523,0.499427,-9.68713003078,35,0.0320356361868
-0.934205884449,0.0170569,88.6486550629,0.512004,-0.0857027254617,34.287,-9.37962739921,24.9253,-0.547183,0.526033895709,0.0258462393265,-9.44439884258,0.0945385,36,56.9748079067,40.4294329654,0.511996125486,0.530262,-9.47780736867,36,0.0340453785095
-0.207363707839,0.0169969,94.1005350163,0.576796,-5.34334671197,35.004,-2.04036271527,25.2273,-0.615742,0.591232736479,0.0268621915754,-2.04598494936,0.0204803,37,52.8692272619,42.3363040042,0.576841203189,0.594974,-2.05447085764,37,0.00393208575776
