MaxReturn,PolicyRegParamNorm,Iteration,AverageReturn,AverageAbsY,AverageAbsQYDiff,AverageAction,AverageY,AveragePolicySurr,AverageQ,AverageAbsQ,StdEsReturn,QFunRegParamNorm,MaxEsReturn,MinReturn,AverageDiscountedReturn,StdReturn,AverageEsReturn,MinEsReturn,AverageQLoss,Epoch
3.97864255706,11.7103,9,-3.38443875437,2.95907841813,3.93827183223,0.20393,2.95907841813,0.385474,-0.979193,1.06649,4.02193562237,11.4916,12.4449718424,-5.31151188949,-1.66266930117,1.05907771581,-4.2922950673,-18.0181999711,20.0591,9
-8.15870222563,12.3709,10,-8.37154766385,1.592874896,0.397442768861,0.980599,1.57427095277,-2.13919,1.54817,1.56054,3.15304633671,11.7031,1.49513085936,-8.55928522932,-8.08246832226,0.0698336552522,-8.30944532224,-19.9924953802,0.439235,10
-8.17654503301,12.7279,11,-8.44565586476,1.32001609124,0.17402637083,0.981754,1.29866798917,-1.6493,1.29442,1.31599,1.57278757556,11.8074,0.466721505963,-8.65989757268,-8.1531673869,0.0865998929509,-7.72745390664,-14.4278328175,0.0569624,11
-8.0676909911,13.0321,12,-8.25697453062,1.25242973323,0.125987378185,1.0,1.22087379187,-1.34836,1.21942,1.25154,1.58048247114,11.8833,-4.67772848739,-8.44048057985,-7.97345158851,0.0671275115667,-7.92262100197,-16.059316403,0.0274991,12
-8.06573812318,13.251,13,-8.25695795155,1.03077157158,0.103485344616,1.0,0.928300220724,-0.890009,0.927839,1.03077,1.41111519173,11.9403,-4.36011738956,-8.45810267194,-7.9734648827,0.0673235218406,-7.75136900245,-15.04858951,0.0181821,13
-4.2156657546,14.0147,14,-7.36182966564,0.812104247074,0.0944158483056,0.973284,0.526141453819,-0.490656,0.526061,0.810311,3.20205295325,12.0532,0.692859171109,-13.599007931,-3.79824746399,2.34679020452,-8.12173695196,-37.8601990984,0.0153625,14
-9.28459389343,14.481,15,-11.4964045693,0.801043498872,0.0887725634645,0.868585,0.630437886825,-1.01007,0.629132,0.797101,3.37577442661,12.1879,-4.79429341664,-17.4313229981,-7.17585745346,1.82434299434,-8.92153877933,-16.3242280766,0.0143771,15
-5.61898787956,14.7143,16,-8.16115784127,0.964321006742,0.079607650481,0.92215,0.868607537101,-1.28843,0.867904,0.9618,11.6292478706,12.389,-7.00596374806,-10.6986099773,-5.28582022139,1.33748924544,-17.6243417386,-44.6989321018,0.0117596,16
-6.42500180157,15.0472,17,-9.16557801092,1.06445021034,0.0808386474902,0.922335,0.983700304573,-1.37107,0.983095,1.06243,10.4061798771,12.6414,-3.20230665119,-11.3937169417,-5.94658375564,1.22567545835,-15.6194698343,-37.5712542804,0.012415,17
65.3301542229,15.5663,18,52.1791828504,1.20202583688,0.0883959517598,0.820517,1.14233057374,-1.58149,1.14162,1.20008,98.4037007805,13.0051,250.621268187,39.7307069632,39.07888956,6.19330657445,85.8816938348,-9.54345701717,0.0161173,18
1022.45723808,16.2719,19,1019.26630775,1.42556930573,0.0880789636008,0.847623,1.38683184007,-1.80622,1.38599,1.42261,107.297332451,13.3907,284.04191224,1014.84924155,113.415909951,2.04621933771,72.4919722535,-57.6768152482,0.0174031,19
415.787350921,16.9581,20,255.027759141,1.60067055469,0.0915696107775,0.95989,1.56545659046,-2.0419,1.56451,1.59691,120.79429608,13.8166,382.007060679,48.5526740246,105.438436557,67.220075526,189.560164483,23.9316062812,0.0192383,20
