MaxEsReturn,AverageDiscountedReturn,AverageAbsQ,AverageAbsQYDiff,AverageReturn,Iteration,AverageY,QFunRegParamNorm,AverageAction,PolicyRegParamNorm,MinEsReturn,AverageAbsY,AverageQ,AveragePolicySurr,Epoch,MinReturn,MaxReturn,AverageEsReturn,StdEsReturn,AverageQLoss,StdReturn
283.123398358,15.0634581866,5.35795,0.485824267937,214.396435895,30,5.33846255209,25.4598,0.69054,24.0376,283.123398358,5.36901109929,5.33427,-6.10714,30,149.21568747,309.136356001,283.123398358,0.0,0.470735,57.201150419
310.13597136,31.8413561453,5.97174,0.496811690771,334.111329059,31,5.95842422146,25.8437,0.696216,24.3534,310.13597136,5.98157254743,5.95441,-6.73584,31,203.536623534,413.017501586,310.13597136,0.0,0.492704,55.2307154152
300.852963595,36.6372463881,6.53427,0.499439350837,432.441147357,32,6.52745390245,26.2239,0.670487,24.7381,300.852963595,6.54313117981,6.52272,-7.34376,32,334.097219656,542.922969811,300.852963595,0.0,0.493208,56.9683010512
353.161673355,13.7605016621,7.19619,0.505419388755,461.816345864,33,7.19270933453,26.5923,0.697135,25.0972,353.161673355,7.20357791522,7.18823,-8.01429,33,110.729629263,614.017608499,353.161673355,0.0,0.516797,156.408435345
403.42626438,39.1761253272,7.92192,0.511091413247,361.10846982,34,7.92076689514,26.9388,0.694899,25.4406,403.42626438,7.9294129715,7.91553,-8.74979,34,-332.749140744,622.511409323,403.42626438,0.0,0.529821,326.428622382
429.186877128,-12.2899070419,8.554,0.513602100478,-62.0902714608,35,8.55451534536,27.2811,0.637405,25.7864,429.186877128,8.56039173677,8.55033,-9.3804,35,-223.22859307,454.861736922,429.186877128,0.0,0.541078,212.065441704
412.505867705,28.4982698615,9.22422,0.522333612138,554.27019513,36,9.2266806787,27.5639,0.708555,26.1355,412.505867705,9.22975656226,9.22229,-10.0649,36,392.138056326,661.631644678,412.505867705,0.0,0.563236,85.2983568212
457.818639296,63.1248408134,9.92671,0.526464190329,663.621836601,37,9.92967258798,27.8457,0.691246,26.4909,457.818639296,9.9326422282,9.92475,-10.7598,37,561.128753149,722.835363104,457.818639296,0.0,0.579268,42.2848220536
468.677822332,33.6376275953,10.6359,0.528040560104,680.727102478,38,10.6392972235,28.1658,0.701975,26.859,468.677822332,10.6416297043,10.6347,-11.4632,38,589.623844584,761.908007522,468.677822332,0.0,0.582428,49.8351162583
467.039266718,59.8614610209,11.3279,0.543608961737,542.726387324,39,11.3314791598,28.4729,0.740556,27.2191,467.039266718,11.3334439711,11.3269,-12.1374,39,476.893182708,594.335455533,467.039266718,0.0,0.659467,36.0975182116
470.6030984,41.5644919606,12.0687,0.536491044081,455.163209,40,12.0718720779,28.7533,0.760083,27.5893,470.6030984,12.07336299,12.068,-12.8958,40,-58.2986741658,594.696799934,470.6030984,0.0,0.602949,179.946988851
484.88630159,74.8628537992,12.7354,0.542538197259,744.975934121,41,12.7395163029,29.0182,0.734097,27.9215,484.88630159,12.7405663903,12.735,-13.5307,41,656.84502709,805.060921692,484.88630159,0.0,0.641123,37.691747463
422.905127674,67.771348889,13.4581,0.544626265117,348.623284255,42,13.4621157009,29.2788,0.739905,28.2672,422.905127674,13.4629908187,13.4576,-14.2537,42,-202.654820085,671.897832623,422.905127674,0.0,0.683711,276.672000259
466.683087946,55.6006461841,14.1393,0.553887362388,329.446041271,43,14.1435937022,29.5462,0.74718,28.5819,466.683087946,14.1441545234,14.1392,-14.9428,43,-508.46248615,670.32077331,466.683087946,0.0,0.692963,428.717724497
413.25414629,63.7488144866,14.873,0.560902795712,698.219163849,44,14.877044041,29.8279,0.729313,28.9242,413.25414629,14.8775022306,14.873,-15.681,44,653.96513684,762.86995932,413.25414629,0.0,0.721727,35.4714340526
558.009049423,50.7133663838,15.5977,0.570049625981,302.761465452,45,15.602275072,30.1063,0.767756,29.206,558.009049423,15.6026061127,15.5977,-16.4129,45,-96.7354086987,575.93742378,558.009049423,0.0,0.77863,203.078581732
