StdEsReturn,PolicyRegParamNorm,AverageReturn,Epoch,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageAbsY,AveragePolicySurr,StdReturn,AverageQ,MaxEsReturn,AverageEsReturn,AverageAction,AverageY,AverageQLoss,MinReturn,MinEsReturn,AverageAbsQYDiff,AverageAbsQ,MaxReturn
26.6242717163,11.7093,-7.99811656396,9,9,-4.02963938121,11.4921,2.40470747261,-0.053479,15.3266131261,-0.481809,-257.258399269,-299.769906491,0.00375518,2.40470747261,12.2278,-42.2337121244,-335.382541465,2.89801955137,0.937968,0.517835791062
0.0,12.1688,-600.497028258,10,10,-61.8529019889,11.9576,0.995161239973,-1.72147,1.65069696974,0.876041,-275.699596113,-275.699596113,0.997314,0.889524672432,0.38865,-602.716256019,-275.699596113,0.445295393277,0.946639,-598.231507251
0.0,13.7663,-640.503286354,11,11,-63.7158263274,12.7651,0.974016490596,-1.46946,111.118656029,0.818774,-311.358915028,-311.358915028,0.961182,0.821048839862,0.167699,-724.670112621,-311.358915028,0.313280857343,0.921217,-470.202498212
0.0,14.9015,-487.671654033,12,12,-42.7571590456,13.5184,1.12794157313,-1.73122,7.68638784825,0.88775,-324.599722339,-324.599722339,0.818892,0.88656805983,0.166204,-497.002861552,-324.599722339,0.307562041092,1.07717,-475.487898126
0.0,15.2662,-437.728284193,13,13,-40.9160775514,14.1353,1.34597289766,-1.86246,3.28038074193,1.15626,-438.681206827,-438.681206827,0.763495,1.15676568084,0.178345,-442.085668491,-438.681206827,0.318388464172,1.30406,-432.904751166
0.0,15.4333,-252.273600403,14,14,-8.45628158084,14.7966,1.52587959443,-1.79366,7.42285834976,1.31849,-366.912989983,-366.912989983,0.450309,1.32010400204,0.187117,-267.551667709,-366.912989983,0.323524234552,1.48398,-244.282201336
0.0,15.5985,-226.918550913,15,15,-2.37640714743,15.5556,1.56910227536,-1.70392,5.17291785633,1.30494,-347.213082388,-347.213082388,0.430397,1.30525027797,0.204268,-234.070549414,-347.213082388,0.336107345932,1.52593,-215.744430737
0.0,15.8695,-119.545338616,16,16,-8.17201810187,16.3374,1.65770690351,-1.82282,87.5458632933,1.37708,-296.395991333,-296.395991333,0.220802,1.37929647438,0.202671,-238.896863627,-296.395991333,0.332593056148,1.61537,-40.1719396315
0.0,16.2777,-209.842312139,17,17,-10.2567774758,17.1509,1.76254699575,-1.94766,89.6353484827,1.48865,-255.372352585,-255.372352585,0.372448,1.49036969146,0.211576,-278.138335026,-255.372352585,0.336125264666,1.72098,-67.7645332035
0.0,16.6686,-57.5866593058,18,18,2.72205580923,17.9272,1.88392262924,-2.1075,16.3987534733,1.63688,-314.075398162,-314.075398162,0.333734,1.63942978776,0.231887,-90.856174408,-314.075398162,0.346433606776,1.8464,-24.8770524786
0.0,17.0096,11.8587330749,19,19,8.40359757311,18.6886,2.02514112478,-2.31784,20.4838693175,1.79975,-201.032244447,-201.032244447,0.378276,1.80266442446,0.256503,-14.290766496,-201.032244447,0.358737103686,1.9887,56.3564447562
0.0,17.4475,-98.0342482881,20,20,-2.97138782949,19.4602,2.1925413554,-2.52012,17.8367669091,1.98,-160.420820832,-160.420820832,0.310052,1.98424900792,0.288126,-122.758100254,-160.420820832,0.379154778368,2.15668,-62.6454854488
0.0,17.9163,-36.0067034643,21,21,1.48563212977,20.1775,2.39700564179,-2.77124,6.69684540499,2.21261,-76.85511087,-76.85511087,0.0899198,2.21647547955,0.307472,-41.0591787067,-76.85511087,0.386978460947,2.36594,-18.4215598404
0.0,18.2966,-88.7769337935,22,22,-0.099646359544,20.858,2.6221419443,-3.04873,23.1964076202,2.46671,-114.03296796,-114.03296796,0.333116,2.47043167004,0.33515,-129.908779039,-114.03296796,0.399025198403,2.59401,-57.3677299071
0.0,18.7386,-30.3509387415,23,23,5.62366400912,21.5039,2.82832078469,-3.28275,5.46291710187,2.68862,-108.551609184,-108.551609184,0.0832094,2.69297586843,0.368167,-38.2862767898,-108.551609184,0.413915735341,2.80069,-17.2741006571
0.0,19.1452,-60.5995279394,24,24,3.41902250897,22.0812,3.13291431281,-3.63793,57.8578518788,3.01251,-124.447078687,-124.447078687,0.219566,3.01757072864,0.365461,-192.129019075,-124.447078687,0.417545200008,3.10904,-1.27545788676
0.0,19.5742,2.72052139369,25,25,8.43026264375,22.6551,3.342923338,-3.86106,10.3552074541,3.24444,-138.406272321,-138.406272321,0.0651174,3.24916959714,0.376355,-10.114539154,-138.406272321,0.414529933561,3.32036,24.0059021295
0.0,19.9794,-3.95074456578,26,26,17.1252593286,23.2043,3.60775173186,-4.14295,14.1395570559,3.52776,-119.59908159,-119.59908159,0.0884657,3.53241333065,0.384636,-33.8443077626,-119.59908159,0.420052196476,3.58703,11.1705651882
0.0,20.4906,-42.4125317621,27,27,7.85416587576,23.7266,3.86885908614,-4.43387,24.1670714343,3.79998,-78.0286524423,-78.0286524423,0.441051,3.80541655019,0.418614,-91.0789966127,-78.0286524423,0.435511132956,3.84856,-5.20855105394
0.0,20.9037,155.978750514,28,28,17.697210506,24.1964,4.16121962991,-4.73963,24.7712012259,4.10848,-56.1183036747,-56.1183036747,0.546608,4.11328366094,0.420982,94.0996413463,-56.1183036747,0.44054408371,4.14404,187.454907164
0.0,21.2432,175.167572481,29,29,19.4003109578,24.6081,4.46136275756,-5.04561,20.8456062495,4.41827,-70.3752493528,-70.3752493528,0.558971,4.42364889279,0.426008,134.469040031,-70.3752493528,0.442770798652,4.44595,214.361609858
0.0,21.6532,200.447127971,30,30,24.6560364473,25.0269,4.7257140764,-5.31785,26.5601195735,4.69101,31.0856796242,31.0856796242,0.532672,4.69582868295,0.43806,145.597611067,31.0856796242,0.449612143883,4.71182,246.571002674
0.0,22.0538,56.6177936758,31,31,21.0555018093,25.4185,5.04917447144,-5.64586,73.4315381275,5.01802,29.4230876722,29.4230876722,0.603963,5.02338910732,0.42994,-133.328825994,29.4230876722,0.449466019382,5.03629,150.860276303
0.0,22.4735,286.931333062,32,32,38.9395980011,25.7716,5.31832276822,-5.92349,31.7546191706,5.29529,86.6250231479,86.6250231479,0.659222,5.29963375918,0.441494,245.51542571,86.6250231479,0.454045323346,5.30713,343.319392939
0.0,22.863,147.034165939,33,33,20.2903914588,26.111,5.7357826308,-6.35421,48.7852741314,5.71384,127.756371207,127.756371207,0.686917,5.71802973449,0.476047,68.7060935394,127.756371207,0.467851152117,5.72513,216.333101107
0.0,23.2589,84.5790159674,34,34,13.5455936686,26.4585,6.15947485807,-6.80339,52.6683083375,6.14254,191.820025463,191.820025463,0.68779,6.14833064675,0.460994,12.9204615715,191.820025463,0.475664133883,6.14961,167.918262331
0.0,23.5346,475.436720292,35,35,52.3520929532,26.7723,6.48129609671,-7.12411,44.8015413337,6.46639,243.715044064,243.715044064,0.721815,6.4708388648,0.470464,391.207904857,243.715044064,0.483369934781,6.47297,532.635370794
0.0,23.8589,357.655118326,36,36,35.9453361657,27.0963,6.95233444553,-7.61078,61.2644972324,6.94131,370.246694812,370.246694812,0.720977,6.94605691534,0.530468,256.587016397,370.246694812,0.493337777497,6.94467,465.455102063
0.0,24.1688,526.715744646,37,37,59.1567967764,27.4049,7.48311706648,-8.16489,32.666197794,7.47171,340.921697595,340.921697595,0.72708,7.47698883006,0.539566,491.777960352,340.921697595,0.512269978743,7.4746,585.676682202
0.0,24.4634,383.810457012,38,38,39.3785705007,27.7077,7.87973510417,-8.5624,57.4607466304,7.86991,200.893659543,200.893659543,0.775607,7.87528129785,0.531417,306.73055353,200.893659543,0.508667747501,7.87307,509.873716334
0.0,24.8415,126.783459247,39,39,24.6887996256,27.9779,8.40741536595,-9.10198,66.4809079604,8.40063,266.652491375,266.652491375,0.788935,8.40511360747,0.524443,16.6455755303,266.652491375,0.509388686096,8.40133,253.488383437
0.0,25.0899,421.175778334,40,40,40.8336954555,28.2709,8.9607056472,-9.67678,38.8616205262,8.95383,310.454319315,310.454319315,0.789593,8.95908472376,0.582699,362.398904185,310.454319315,0.527682770955,8.95445,483.190102375
0.0,25.4875,211.657784775,41,41,20.7192002814,28.5739,9.49918511653,-10.2491,92.1388958698,9.49234,328.694309719,328.694309719,0.796674,9.49801499279,0.609484,83.1622627772,328.694309719,0.535150403218,9.49263,355.529298162
0.0,25.7468,133.920696749,42,42,22.6173604495,28.8929,10.0389785664,-10.7926,298.038470869,10.0327,365.904113254,365.904113254,0.579572,10.0383693059,0.57588,-165.780449549,365.904113254,0.530006021528,10.033,475.252502751
0.0,26.1181,446.404685512,43,43,46.3556990102,29.2348,10.7096474868,-11.4935,58.9887173196,10.7031,306.040565389,306.040565389,0.813567,10.7088290467,0.683066,336.594488538,306.040565389,0.550016845107,10.7032,568.964590771
0.0,26.4352,232.230045682,44,44,27.2831550623,29.5285,11.3395098947,-12.1459,346.765941782,11.3347,309.702876056,309.702876056,0.730533,11.3390222758,0.60415,-283.927230995,309.702876056,0.543095198905,11.3348,556.027029524
