AverageAbsQYDiff,StdEsReturn,Iteration,AverageDiscountedReturn,AverageQLoss,AveragePolicySurr,AverageAbsY,QFunRegParamNorm,MaxReturn,Epoch,AverageEsReturn,AverageY,MinReturn,PolicyRegParamNorm,AverageAction,AverageReturn,MinEsReturn,MaxEsReturn,StdReturn,AverageAbsQ,AverageQ
1.66875030071,6.76970935047,9,8.79400137657,3.02827,-0.0689539,1.49747591517,11.1299,9.34254225721,9,9.85012866629,1.49747591517,9.10285315603,11.2292,0.219587,9.21847668404,1.79182269844,57.3689132965,0.0471345418555,0.235017,-0.144168
0.127752423171,4.23311428807,10,4.97033081155,0.0557775,-1.22822,1.18034705017,11.3542,5.21978425764,10,4.65110124905,1.16907266731,5.01630289799,12.1482,0.922833,5.1162853315,2.42724162178,45.2411880831,0.0428281143052,1.16766,1.15902
0.0733409076021,18.1036216076,11,34.4736909113,0.0146554,-1.4883,1.40173830106,11.6526,40.7323958869,11,26.2249752639,1.38470424904,36.6656170822,12.6871,0.999999,38.7909158732,4.78931003425,65.1456075744,0.950742792531,1.40138,1.38382
0.114396714018,7.17869928745,12,34.4698622489,0.0515776,-2.28921,2.08496284036,12.2805,41.7115360013,12,39.6800861029,2.06198297231,36.5866392367,12.6887,1.0,38.7862122015,8.5374319552,56.3367521749,0.934000312647,2.08464,2.06035
0.162766485101,6.85322880378,13,34.4370356098,0.118438,-3.30237,3.02711504197,13.3383,41.7389531335,13,42.7929302791,3.00471203624,36.5478920246,12.6821,1.0,38.7430711117,38.2896625078,74.8031006816,0.940539854919,3.0261,3.0027
0.219257223249,2.81980655613,14,34.4620335824,0.198746,-4.49843,4.11791540643,14.611,40.6843327704,14,40.7019474136,4.09914557055,36.6653976723,12.6845,1.0,38.7770755564,36.674998605,50.893825582,0.88663458583,4.11675,4.09628
0.248851835986,4.80560054513,15,34.4381389114,0.255237,-5.8113,5.30953903896,15.9529,40.6601307094,15,42.1187390539,5.29297277284,36.552446812,12.6995,1.0,38.7459746954,28.4700867365,54.9177623167,0.902476955301,5.30853,5.29043
0.263188993187,5.11616854398,16,34.5272066115,0.270326,-7.14033,6.54175344161,16.9592,40.7235876162,16,41.2406242454,6.52855983289,36.776162256,12.7119,1.0,38.8586077518,16.7561494504,52.4100350662,0.937237413794,6.54103,6.52601
0.291002285841,6.55968747789,17,34.4953589628,0.319807,-8.49682,7.78974526095,17.9998,40.719089417,17,39.9224763104,7.7783954712,36.6057656419,12.7133,1.0,38.8188324778,7.55709744018,51.4815782215,0.88425510422,7.7895,7.77572
0.303266609181,6.43158249019,18,34.4139927519,0.350486,-9.95813,9.15424603174,18.8637,40.7826338003,18,41.0666661213,9.14658321573,36.6619591966,12.7202,1.0,38.7139062651,9.60438672278,61.3771712638,0.930051973982,9.1555,9.14473
0.318548243714,7.0231841963,19,34.498892526,0.359451,-11.2352,10.4120400183,19.5711,41.7896057616,19,41.4027921132,10.4051098871,36.7034479096,12.7268,1.0,38.8219877618,6.33022031546,55.0711693625,0.928239093308,10.4129,10.4023
0.343576579798,4.16997742176,20,34.5349928724,0.432126,-12.5834,11.659469471,20.4415,40.5999293413,20,41.0746735642,11.6512072459,36.5776911734,12.7332,1.0,38.8676608885,26.2500001907,58.6213800997,0.907426655095,11.6609,11.6488
0.349440088698,5.29488381834,21,34.4707330584,0.410834,-13.9415,12.9272887475,21.1515,40.7910726457,21,41.8683930788,12.9207411615,36.6099421946,12.7389,1.0,38.7851890422,27.9226913214,64.3388727368,0.947903980121,12.9295,12.9179
0.394459103209,5.00981535994,22,34.5121438331,0.536299,-15.3167,14.2691289866,21.9408,41.8329713686,22,41.8378817722,14.2624904094,36.7321308769,12.7433,1.0,38.8387302225,36.9783659539,63.5105007058,0.944722502518,14.2722,14.2602
0.408909667312,6.38716972452,23,34.4607520768,0.535815,-16.5716,15.4758610335,22.6836,40.7866318112,23,39.9179090077,15.4702551658,36.5629830862,12.7473,1.0,38.7733660857,8.60848498867,49.4541250614,0.885684425715,15.4795,15.4678
0.424507082024,7.99365183146,24,34.5154824715,0.610132,-17.6326,16.4970340063,23.4517,40.6961220655,24,42.5283582028,16.4929904173,36.7983248356,12.7508,1.0,38.8427504833,36.6192813466,83.4857172434,0.92471192299,16.5016,16.4904
0.440955996971,7.61659940749,25,34.5051827912,0.631826,-18.6911,17.5316810387,24.1919,40.7213333755,25,41.1259449279,17.5262781345,36.6663936165,12.7545,1.0,38.8312266841,17.8645771534,66.2092812659,0.960141304581,17.5378,17.5248
0.482376992778,9.5065353805,26,34.4995918623,0.887371,-19.6487,18.4801130051,24.9892,40.6605025866,26,41.2669240383,18.4762698909,36.7379437081,12.7577,1.0,38.8230171043,5.12644906798,66.4027469582,0.871935646849,18.4835,18.4724
0.476561933929,4.92549173798,27,34.5261495276,0.820945,-20.4341,19.3295890476,25.6782,40.8086961145,27,41.5622144962,19.3240612016,36.5713977772,12.7599,1.0,38.8558114712,24.5147182369,59.3071765217,0.892350919623,19.3352,19.3216
0.474664358538,5.8923710892,28,34.4477062091,0.773632,-21.1419,20.0244717421,26.3573,40.7625661602,28,40.4780560279,20.0203490943,36.6988180295,12.7604,1.0,38.7565568783,6.3237074052,51.6342947141,0.928292501976,20.0306,20.0194
0.475833821437,7.81689496333,29,34.5076737151,0.775684,-21.6701,20.6151231715,26.991,40.6445961744,29,43.5818514132,20.6108503846,36.5159178335,12.7613,1.0,38.8338375058,37.0452324096,71.7647412594,0.953417211412,20.6214,20.6083
