AverageAbsY,PolicyRegParamNorm,MinEsReturn,AverageEsReturn,MaxReturn,Iteration,AverageAction,AverageAbsQ,AveragePolicySurr,QFunRegParamNorm,StdEsReturn,AverageAbsQYDiff,StdReturn,AverageQLoss,Epoch,AverageDiscountedReturn,AverageReturn,MinReturn,AverageQ,MaxEsReturn,AverageY
2.75906596792,11.7095,-16.6073748899,-4.12331490258,-1.75689682694,9,0.205796,1.21552,0.43784,11.4908,3.91185983732,3.80529033982,0.551880203867,17.7326,9,-1.88213915616,-3.64033116584,-5.17577810743,-1.09061,18.833587769,2.71468335514
1.49498414908,12.1873,-16.852362573,-7.91356810246,-7.93693697865,10,0.999921,1.39073,-1.59073,11.8544,2.75732939223,0.409912520771,0.0644987454331,0.441562,10,-7.81450836376,-8.09178173543,-8.26062919789,1.24104,0.994401304733,1.27590340312
1.33649677031,12.6109,-56.0529629405,-7.75268432529,-6.17023911881,11,0.999999,1.32093,-0.672809,12.1214,4.8884730175,0.190571279985,1.36261990974,0.0647512,11,-5.44749617591,-8.84704199556,-12.1074070058,0.509252,0.281002026402,0.510383227549
1.77315448285,12.6271,-24.0855680787,-13.2879496899,-6.10625627976,12,0.999999,1.76047,-1.55942,12.8475,7.57213093367,0.210616839044,1.36712135571,0.0811678,12,-5.36053361986,-8.72700634908,-11.2347078696,0.522533,1.30480713529,0.524705154681
2.24927016028,13.7166,-30.0199187068,-10.3245934026,-9.14232095018,13,0.882071,2.23446,-2.14806,13.7405,5.96021689371,0.247526060431,1.03273918451,0.113561,13,-7.73380979758,-11.7973544019,-14.1479307189,0.870572,-3.22872512362,0.872344086128
2.67464198821,14.8982,-31.5689532895,-10.8042055698,-14.2687379833,14,0.716429,2.65621,-2.5359,14.6624,5.95417742856,0.284516767239,3.86111643644,0.158614,14,-7.40125696351,-24.7813362787,-31.3351310042,1.1997,-2.10181223571,1.20102658733
3.10134448581,15.9001,-35.9452778647,11.517368151,429.26274084,15,0.52795,3.08139,-3.03829,15.6564,73.3679493823,0.318551726629,34.8321588375,0.208172,15,110.744748704,331.043254237,223.218625783,1.50637,223.546134831,1.50696260202
3.74239923356,16.5447,26.7744991607,85.6137577788,401.734879847,16,0.55661,3.72267,-4.02872,16.447,70.8970305153,0.334681610532,8.4527944327,0.246664,16,113.342020648,384.114718686,366.393817684,2.28879,226.76377619,2.29078422749
4.52336541148,17.3902,69.9697030138,202.518401648,130.928225524,17,0.713907,4.50442,-5.04578,17.2311,116.506358872,0.347416988881,12.5740337209,0.299903,17,57.281921576,93.2308814736,72.7743037356,3.34358,366.411033163,3.34523525244
5.48169938276,18.2157,24.3348983173,219.695389204,150.168934137,18,0.693731,5.46447,-6.13915,17.994,152.287835651,0.372403810776,26.5250419424,0.347255,18,47.8169297266,58.6262124769,21.6875813519,4.4404,471.517341656,4.44213155646
