AveragePolicySurr,StdReturn,PolicyRegParamNorm,AverageReturn,MaxReturn,AverageEsReturn,AverageQ,StdEsReturn,AverageDiscountedReturn,AverageAbsY,AverageAction,MinReturn,AverageQLoss,Epoch,AverageAbsQ,MaxEsReturn,AverageY,QFunRegParamNorm,MinEsReturn,Iteration,AverageAbsQYDiff
-1.15415,0.0370224793283,11.7811,-8.20924931459,-8.0849584783,-9.74288397789,0.523308,3.28244492815,-7.60958086246,2.34962954348,0.567156,-8.32678922299,4.76409,9,0.78653,1.26443592422,2.128646143,11.5833,-17.4729698815,9,1.931068113
-1.46741,0.0837876653846,12.6021,-8.32739491567,-8.11000619924,-7.70865777434,0.791631,1.79287708875,-8.03851638782,1.32691323422,0.999846,-8.53532104478,0.333636,10,1.22925,0.631553900458,0.807476547766,11.9508,-17.189084078,10,0.379823062093
-0.456658,103.457283334,13.3496,205.114251903,471.246658003,-3.25663441929,-0.134026,25.0624853867,95.6190633488,1.34959350018,0.998106,39.7973493695,0.042921,11,1.34049,230.278918014,-0.132611236112,12.1919,-11.1021318773,11,0.157224979428
-1.24934,72.2193301947,13.6131,18.2068733571,351.659669341,160.775046624,0.0513753,156.953434133,23.9043019593,1.8738171958,0.982457,-86.0676335538,0.0516088,12,1.86558,338.871750733,0.053267427643,12.7202,-39.4969786302,12,0.167231039673
-1.91961,9.68758554508,13.8866,-13.8242795385,-2.19954110022,96.5124798013,0.52755,93.1091655049,8.17800803343,2.4584783889,0.962535,-49.5158387825,0.0855917,13,2.45001,301.178149701,0.529266620645,13.4742,28.9144002388,13,0.199558625785
-2.50768,167.014346352,14.2741,134.191141986,688.037652104,134.321057125,1.04149,226.892124732,62.8918396651,2.99853640056,0.983841,49.833233194,0.124876,14,2.98817,584.817289098,1.04295990371,14.392,-4.24475226297,14,0.231929997143
-3.35638,257.845627286,15.0749,228.634491332,851.181086274,159.200028669,1.76537,154.981540064,68.4030416586,3.59712728677,0.906131,30.674740803,0.150487,15,3.58534,476.49919437,1.76668419997,15.3514,7.09323493036,15,0.251193580929
-4.35057,264.994641861,16.1073,765.958244983,1232.50826823,133.588218642,2.6971,180.339709821,108.400967696,4.34029615171,0.852039,380.619205365,0.275205,16,4.32556,466.267845797,2.69892900606,16.2514,-21.6093928961,16,0.304169096425
-5.20439,37.7310133959,17.0225,54.9149648195,326.51054894,173.888873452,3.54734,143.660962719,46.2511780387,5.04181143759,0.814599,31.8273545118,0.330242,17,5.02774,405.912953045,3.54891070166,17.2035,7.65690164141,17,0.33529030462
-6.27861,16.479590579,17.6683,77.6604561423,144.576055094,246.9069065,4.60444,124.431125856,57.2631388693,5.99714282802,0.837721,58.2014997109,0.497094,18,5.98074,423.083063218,4.60721745175,18.2124,77.5795021928,18,0.384254711307
-7.46578,136.488441896,18.3005,345.156720971,558.885911597,293.618971057,5.73592,103.692984202,86.5215447938,7.07232619687,0.680844,62.9362808042,0.693658,19,7.05783,415.20538059,5.73832375985,19.1049,114.095440536,19,0.423412605127
-8.52552,73.5471991352,18.9877,153.899664382,269.135068923,218.492448586,6.76653,149.814674029,70.6653423459,8.07143502473,0.608144,66.2587116258,0.876437,20,8.05441,463.866556937,6.76930892664,20.1065,75.9797439487,20,0.470319165313
-9.68934,117.897236633,19.7419,287.906084727,596.153980825,176.850111346,7.89406,145.608531013,95.9338999451,9.16707380378,0.773132,118.418771203,0.98073,21,9.14805,349.512468625,7.89747088203,20.9791,13.4169658817,21,0.501574912179
-10.9497,108.686751044,20.3808,118.9811142,484.801636139,174.274364577,9.11236,97.733561734,63.2264809955,10.3621160683,0.74902,46.6157515019,1.20114,22,10.3435,300.573975708,9.11541721648,21.7541,58.2977732764,22,0.545670173065
-12.0228,174.667125782,20.9839,222.374228201,622.719412832,155.864931229,10.2396,94.6519877466,82.3779339149,11.4583389523,0.759548,30.3105581434,1.27955,23,11.4437,291.129604159,10.2431072442,22.5434,29.7603573634,23,0.575749641797
-13.2296,136.816520418,21.5947,284.014992862,612.391710523,311.623278427,11.4423,96.5255744636,103.026587286,12.5970204409,0.750224,35.8607114749,1.51354,24,12.5837,438.611096586,11.4453584849,23.3219,149.562549619,24,0.62696701768
-14.3951,212.895429856,22.1535,454.198596917,865.069768474,247.47002212,12.604,220.910733949,102.828395082,13.7565549227,0.738905,88.0999432587,1.62561,25,13.7426,640.286447474,12.60651326,24.0225,39.5428655456,25,0.658996694019
-15.6644,192.929217039,22.5892,185.788469254,643.242304708,226.993654259,13.861,131.873088333,71.4241485389,14.9975473603,0.725717,35.2720367785,1.84592,26,14.9823,404.001281858,13.8652173243,24.7819,62.0452129764,26,0.699614297874
-16.8877,95.2958771716,23.0528,404.175164705,519.077319893,199.510790403,15.0265,127.633908235,127.971525848,16.1397828993,0.712423,118.964749688,2.12936,27,16.1267,385.913162849,15.0292900088,25.5539,19.1403238101,27,0.74859222969
-18.0912,41.6280181064,23.4892,265.867561876,368.509017634,286.646593069,16.1686,133.002597279,111.602003968,17.2796869655,0.736997,188.639737143,2.66317,28,17.263,400.96319943,16.1735598293,26.3561,59.978638952,28,0.8239941915
-19.388,89.09892834,24.0333,478.890600278,684.169577865,174.44777559,17.428,129.892292951,124.877983013,18.5194903064,0.706916,280.523812944,2.51662,29,18.5042,400.356992779,17.4318428554,27.1187,31.418463812,29,0.844124449957
-20.7231,158.655431713,24.5873,520.957643024,996.974814266,210.015554277,18.7674,130.356345981,121.53368276,19.8211909128,0.728472,206.313985167,3.0223,30,19.8011,432.228569564,18.7733873881,27.8584,-3.85317311682,30,0.920933129359
-21.8203,99.7625671483,25.0201,359.37861974,716.131715886,166.935878894,19.8662,215.400716774,136.664165488,20.8587647822,0.764376,164.504827549,3.40855,31,20.8422,590.27772339,19.8691015789,28.6234,7.81552152129,31,0.981972992382
-22.9935,104.692054349,25.3909,414.126784936,851.804621333,178.75811886,21.0628,125.694885735,128.863608095,22.0126811408,0.729163,143.902963427,3.86837,32,21.9942,333.899159566,21.0696346312,29.3281,31.1881221966,32,1.03683468789
-24.3571,117.024419519,25.8156,348.296326309,677.202531112,131.779610345,22.3507,98.1463248285,114.885537151,23.2278232731,0.722772,162.883198333,4.09755,33,23.2145,285.943602292,22.3536366242,30.0718,18.5403125581,33,1.08033906257
-25.3873,111.936798976,26.2365,331.788791142,716.146286976,189.686920898,23.4181,119.773815654,113.260424425,24.252194236,0.697668,163.845242257,4.29634,34,24.2385,395.336083468,23.4240925207,30.7589,48.7535126705,34,1.12611226919
-26.6865,93.7633917051,26.6408,268.137158319,522.411282081,135.204691197,24.6694,106.435113209,111.330241193,25.4383464304,0.708644,47.8583172496,4.67689,35,25.4244,318.047147846,24.677000854,31.3782,18.6448437306,35,1.18584044021
-27.808,82.471717521,27.0116,295.971765867,482.099119516,203.495446501,25.8053,178.639325133,121.671287727,26.5680917365,0.75268,68.3909179496,5.3582,36,26.5581,522.920258811,25.8101640802,32.0259,11.2869758767,36,1.25750694895
-28.9754,89.6003524911,27.2837,325.807497487,525.07729599,342.365126717,27.0416,169.577625456,111.82472904,27.8229110396,0.749931,150.399776254,5.18276,37,27.8101,524.641430481,27.0484872112,32.6317,85.3995080287,37,1.27359130413
-30.3666,98.2329751752,27.6035,366.260942582,578.951287071,197.83541365,28.3881,162.975993494,114.508696405,29.1736667693,0.710956,213.501093315,5.34443,38,29.1601,461.629189616,28.3931079166,33.1868,-2.54065844544,38,1.31576486699
-31.498,156.477895291,27.925,255.893708185,575.820572277,197.526179643,29.5347,160.984613841,92.2568622278,30.347716063,0.69144,-38.0156241379,5.78076,39,30.3351,440.334906672,29.5408127929,33.7707,-52.915190203,39,1.36685425215
-32.6513,77.2996671657,28.154,311.572687141,513.309537649,107.060388268,30.65,99.7907204394,122.316231136,31.4953624607,0.612086,1.12515478433,6.03868,40,31.482,263.069726152,30.6575750612,34.3649,6.95951857253,40,1.41571193208
-33.8729,94.1204482964,28.3785,250.534610965,744.61769032,124.070587724,31.8557,89.6465199866,108.107665755,32.6905486708,0.689764,122.97751395,6.87826,41,32.677,297.420161357,31.8612027881,34.9039,32.5041167664,41,1.47217874988
-34.8109,81.136977873,28.7204,282.705912317,656.99188475,166.089763881,32.6916,95.7146661157,115.533776801,33.5547624067,0.758584,162.230774419,7.10008,42,33.5406,287.265365531,32.6975269715,35.4374,-24.2804654627,42,1.51599661794
-36.1377,56.6416185962,28.9413,394.681027441,566.382588099,172.187291797,34.0114,131.144068121,136.487897618,34.8838599359,0.726165,261.466150017,8.5303,43,34.8702,346.874054516,34.0182576104,36.0461,-3.07608959541,43,1.60503479696
