AverageQLoss,Epoch,AverageReturn,AverageQ,AverageEsReturn,AveragePolicySurr,AverageAction,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsQ,PolicyRegParamNorm,AverageDiscountedReturn,Iteration,MaxReturn,MinEsReturn,MaxEsReturn,MinReturn,StdEsReturn,AverageY,AverageAbsY,StdReturn
0.948945,9,14.2537315033,-0.608389,17.9735426658,0.396889,0.0451312,11.0969,0.859656819051,0.608389,11.1942,13.2974218145,9,15.2273627731,4.05564714807,149.666569458,13.6939887106,17.1373618192,0.251268244723,0.272474625722,0.501273868565
0.0104219,10,-1.1557588348,0.19339,4.15684267403,-0.256718,0.937439,11.1068,0.0519622898645,0.207145,12.8657,-0.393372155163,10,-0.616927891095,-1.29807516583,13.7493604842,-1.72341023009,1.337318208,0.195380173189,0.207150316878,0.217801532951
0.00507163,11,12.7861346808,0.271974,19.3923876229,-0.338188,0.793793,11.245,0.0430804128194,0.287769,14.2954,12.1104943821,11,14.5238660248,-1.14079923134,72.8250897787,12.4956104779,14.4182008124,0.272500493947,0.288108063508,0.2481278996
0.00519304,12,39.0108934264,0.423613,28.2219207731,-0.499895,0.948118,11.5123,0.0410512796606,0.428889,14.9493,34.6490209315,12,40.7533291627,5.77432813281,73.5977733673,36.7039674114,15.8664945062,0.424121649988,0.428449353445,0.954977756427
0.00510093,13,28.583332431,0.578143,83.8340652813,-0.657451,0.80317,11.8572,0.0383505978656,0.581074,15.3631,25.8315645977,13,31.494891372,38.6347481579,180.168946473,24.9361249403,36.4545461264,0.578772050656,0.581032955812,1.18326939737
0.00650268,14,176.40782527,0.745391,148.539147422,-0.832889,0.795131,12.3449,0.0420542819244,0.748902,15.8777,113.479882803,14,180.20597017,66.1589179032,185.99862418,173.362342036,39.3303322139,0.745932535172,0.748262562375,1.84891689979
0.00837069,15,176.331829496,0.921817,142.885475141,-1.02136,0.745974,12.8504,0.0462881653985,0.925333,17.1386,113.356212475,15,179.638632326,77.6538210078,197.092653338,173.060455452,42.5932293054,0.922366311237,0.924590010825,1.32887455886
0.0105996,16,174.453804357,1.10179,131.895983711,-1.20762,0.752104,13.4555,0.0497359494525,1.10519,18.1946,112.748072909,16,177.364573961,45.9598132492,183.468592657,170.350268329,43.9374242039,1.10232945899,1.1044299965,1.29544734471
0.0117966,17,174.43379975,1.27456,162.793468583,-1.38624,0.751261,14.0888,0.0532186186881,1.27771,18.991,112.136393895,17,177.347864766,101.975508176,193.0232935,171.351658959,27.093866784,1.27495443392,1.27673220037,1.30250783164
0.0154262,18,173.806448382,1.45086,139.862768119,-1.56932,0.763265,14.7926,0.0586946164877,1.45414,20.0249,112.292119834,18,175.897760882,11.4737767437,176.897935148,171.117641939,48.8856867957,1.45147396757,1.45338403017,1.23890098677
0.0175923,19,174.854320002,1.63491,151.41865487,-1.75957,0.876653,15.5035,0.0624380407351,1.63785,21.0458,112.911103236,19,178.346678786,41.6704638593,203.294768891,171.903600687,49.3099816694,1.63553287388,1.63730722514,1.52299238
0.0172395,20,171.492321313,1.81527,147.632445333,-1.94403,0.755391,16.1503,0.0627880755077,1.81792,21.9076,111.594316389,20,176.974717175,39.1142265411,179.260449332,159.767414192,39.4591287291,1.81585809326,1.81725614613,4.53682130649
0.0192355,21,177.30708542,1.99049,141.754645442,-2.12291,0.703843,16.7476,0.0656806376509,1.99345,23.039,113.895411211,21,181.233953012,9.04299406464,210.144081227,173.933859521,60.4324735741,1.99111176541,1.99255315285,1.56854449477
0.0219759,22,175.745384909,2.16601,134.231355873,-2.30459,0.900613,17.391,0.0708218156236,2.16903,23.8389,113.148115794,22,178.44875321,42.4212210112,186.457158597,172.000009302,50.1867375454,2.16662635125,2.16799523254,1.5770137572
0.0288198,23,188.715792545,2.34766,131.565413952,-2.49407,0.817601,18.0788,0.078154967032,2.35082,24.8231,117.456494288,23,196.600213595,22.7881665285,198.174352924,182.229530523,61.0668529782,2.3482230135,2.34960022407,3.50315736599
0.0302461,24,186.122530142,2.5269,157.542730079,-2.66666,0.742554,18.6491,0.0816346669324,2.52981,25.4808,116.464382664,24,195.590816768,74.7656132524,192.785993895,176.827761898,38.5585494045,2.52755605323,2.52872053278,4.15418622075
0.0300136,25,184.902025241,2.70016,148.140799317,-2.84748,0.716523,19.1721,0.0832854489238,2.70302,26.3474,115.901730768,25,195.374938847,17.1501649182,205.933567267,177.430439162,58.7277441577,2.70088086317,2.70182980204,4.46245679262
0.0366403,26,191.513271621,2.87627,148.997882254,-3.02043,0.685573,19.7181,0.0914525155387,2.87918,27.0075,116.588996713,26,206.575546033,10.7575651305,204.213090468,173.148552519,56.1936899397,2.87726908945,2.87798538248,8.01158123902
0.0361493,27,162.069127879,3.04144,146.201607636,-3.1937,0.676048,20.2571,0.0916181758437,3.04456,27.8862,106.728088309,27,176.563807963,37.1313664746,212.189044355,144.058304453,61.4394301065,3.04217659503,3.04286654788,5.35004416123
0.0408072,28,169.975120679,3.20723,154.891290885,-3.36289,0.73495,20.8615,0.0981201435387,3.21078,28.4148,110.328462188,28,179.235652343,35.2744353779,199.287494354,157.044723167,46.1777887415,3.20800183514,3.20890176028,4.61279904551
0.0421105,29,304.519750245,3.38479,166.225357248,-3.54846,0.216962,21.3239,0.0977751166404,3.38829,29.0798,151.352796606,29,340.401796317,65.8375582988,282.672893156,220.815776682,62.3926273801,3.38546489116,3.38654228658,39.0836958531
0.0419956,30,206.99360439,3.56766,157.503863631,-3.73655,0.47278,21.8247,0.100468758083,3.57151,29.7153,126.416690197,30,216.52085111,49.6237010093,261.675708495,196.847136453,72.0545202514,3.56823518992,3.56914163665,3.44583256052
0.0462905,31,211.221703099,3.74494,158.05617039,-3.92002,0.481736,22.2996,0.104048759608,3.74916,30.2021,127.977928125,31,213.999168489,26.3747787255,219.189858258,205.710067305,55.9605506231,3.74580987531,3.74706259426,2.14764786309
0.0625891,32,209.767085331,3.94318,150.856751889,-4.11209,0.467886,22.7609,0.114546335558,3.9472,30.7682,127.643381064,32,212.665749048,40.4399347777,238.621500785,205.53956373,67.8270718728,3.94416781737,3.94541964844,1.73520009248
0.072583,33,237.144501527,4.12673,198.528963548,-4.30986,0.519765,23.2623,0.118551580909,4.12988,31.2056,137.437928217,33,246.312528987,48.1898801876,280.245414443,227.468038315,60.2085446683,4.12752817966,4.12846777693,3.85924024029
0.0721676,34,243.243423682,4.31539,141.058563585,-4.50688,0.520543,23.6828,0.124493338785,4.31922,31.6696,140.916171349,34,250.584958057,18.0032140787,252.514137846,237.231983524,70.7403783242,4.31612621403,4.31681764159,2.70208291111
0.0799257,35,344.792736898,4.50639,159.808721695,-4.70697,0.445976,24.1378,0.129085292276,4.50958,32.019,170.966868764,35,361.466331319,21.0122486813,289.607022629,332.592026416,78.9354623734,4.50752604409,4.50795159245,7.93210305344
0.0959594,36,319.077607735,4.70199,179.622587063,-4.9056,0.641904,24.5645,0.140293285467,4.70541,32.4276,167.103773492,36,325.443881128,21.3742361363,304.298512218,313.19307905,108.079301045,4.7026937887,4.70329164129,2.38934150268
0.0892084,37,377.061628192,4.90002,221.727628785,-5.11963,0.581874,24.9596,0.136530734413,4.90345,32.9101,184.654030241,37,429.855912693,10.18863816,375.947435252,354.280778287,122.842141224,4.90128734138,4.90184189376,19.602211504
0.113961,38,375.210141806,5.12873,213.942122674,-5.35609,0.562872,25.3618,0.153145230771,5.13323,33.3025,184.776362394,38,380.880607292,58.5846786443,401.734588404,370.36064951,106.065433212,5.13001140245,5.13075931167,2.35799765927
0.112495,39,436.611844685,5.35905,273.215937463,-5.582,0.595847,25.7558,0.154437731188,5.36382,33.7438,193.114136149,39,459.949224951,26.5293653304,441.717412145,402.08825716,126.915829398,5.36060566391,5.36153705913,15.5971179564
0.135217,40,408.950260863,5.60475,258.090040933,-5.83565,0.584564,26.1999,0.163198160989,5.60957,34.1588,189.183196631,40,413.536852371,57.3871241646,579.663541413,396.13372051,163.978226122,5.60525035332,5.60643482107,3.08063255433
