AveragePolicySurr,StdReturn,AverageY,AverageAction,AverageAbsY,AverageQ,AverageReturn,MaxReturn,StdEsReturn,AverageDiscountedReturn,AverageAbsQYDiff,QFunRegParamNorm,MinEsReturn,Iteration,AverageQLoss,Epoch,PolicyRegParamNorm,AverageEsReturn,MinReturn,MaxEsReturn,AverageAbsQ
-0.0333227,0.00861744961284,0.0137396533973,0.00938658,0.0299319595301,0.0176266,-0.937719466848,-0.931373151828,57.6592103729,-0.0937701962272,0.0406970503657,10.3163,-33.2754110731,9,0.00260966,9,10.2595,27.2596310515,-0.960212064017,93.9687611395,0.0365556
-0.101824,0.00655262593258,0.0973666814513,0.0145455,0.115453543704,0.0591466,-1.45309456411,-1.43449537385,52.7428591172,-0.145444207398,0.124267100679,14.4103,-23.7835194392,10,7.22586,10,12.1273,28.9593396779,-1.4559643407,81.7021987951,0.0786037
-0.312,0.00140695142442,0.256915087038,0.00767535,0.256966421883,0.253233,-0.766767437889,-0.764800370892,0.0,-0.0767482748258,0.1111469182,16.626,-12.1963188871,11,3.97316,11,12.7447,-12.1963188871,-0.768851778709,-12.1963188871,0.254083
-0.424297,0.00680071009532,0.370646055189,0.00130644,0.370687337347,0.367095,-0.13051363974,-0.124603142267,62.21069345,-0.0130879412595,0.141484687899,19.3621,-33.2206387274,12,4.71086,12,13.6642,28.9900547226,-0.149549441474,91.2007481726,0.367942
-0.48685,0.000207554229769,0.43251545738,0.00108324,0.432579165777,0.428662,-0.108215204772,-0.107881894768,53.7948452675,-0.0108308104811,0.113907784843,21.4545,-20.499226558,13,3.5542,13,14.1793,33.2956187095,-0.108392952084,87.0904639769,0.428773
-0.562087,0.000190762534537,0.511931648063,0.0138592,0.511969471781,0.50143,-1.38452918138,-1.38423147029,49.1356337186,-0.138569860268,0.158883392039,27.3848,-13.285829988,14,4.1185,14,14.4639,56.1892555589,-1.38471980315,92.0994524104,0.503995
-0.685776,0.00457915907383,0.624883194036,0.0814518,0.624924269853,0.614828,-8.1370390937,-8.13304899628,49.4352306289,-0.814228338516,0.178287119779,33.2138,-13.730950726,15,3.88528,15,15.0209,35.7042799029,-8.15086900199,85.1395105318,0.61989
-0.71908,0.00140487963559,0.649206733307,0.0166787,0.649368364554,0.643966,-1.66619893582,-1.66494246339,0.0,-0.166803328717,0.149959861517,37.6113,-14.295243919,16,2.25346,16,15.2418,-14.295243919,-1.66876835356,-14.295243919,0.649837
-0.727896,0.000709992665935,0.652655555026,0.00583931,0.653127506103,0.648502,-0.583347437303,-0.581915805646,0.318931726132,-0.0583272422354,0.112528867483,39.9699,-24.8581693416,17,1.1211,17,15.6357,-24.5392376155,-0.584484238905,-24.2203058893,0.653735
-0.882284,0.00861461074465,0.800684497075,0.152743,0.802092269843,0.799873,-15.2590726194,-15.2526684186,42.3189700388,-1.52362364913,0.105893881366,42.0943,-0.00981320641887,18,0.649578,18,16.1064,42.3091568324,-15.277544478,84.6281268712,0.806261
-1.01478,0.00507877708222,0.940264184498,0.0293194,0.942676222172,0.938631,-2.92901286853,-2.91926729866,50.4249990153,-0.293063173267,0.0988513564325,44.2539,-13.7910979672,19,0.433506,19,16.4951,36.6339010481,-2.93707915949,87.0589000634,0.946582
-1.09322,0.00197996523959,1.01302859393,0.00252705,1.01726126202,1.0121,-0.25245238624,-0.249287402507,0.0,-0.0252449427643,0.0775920582896,45.5237,-22.1414253725,20,0.252991,20,16.7471,-22.1414253725,-0.255258940169,-22.1414253725,1.02145
-1.17322,0.00750291735605,1.10044684194,0.00203976,1.10754031412,1.1,-0.203772349936,-0.195323834169,54.3171807751,-0.0203668418787,0.05416807776,47.4258,-26.661617903,21,0.114882,21,17.4791,50.1496117135,-0.216393824542,89.3038550256,1.11255
-1.26806,0.0184286109834,1.19410756848,0.000149587,1.20400174937,1.19399,-0.0149437877528,-0.000680984560932,44.0110644876,-0.000434561791175,0.0555617000208,49.6447,-7.67741847925,22,0.128965,22,17.9906,36.3336460083,-0.0552168747701,80.3447104959,1.20858
-1.45492,0.877427567968,1.38086412141,0.00715669,1.39351240139,1.37969,-0.714953047293,-0.112708982485,43.4888922669,-0.0142176039264,0.0600878619632,51.2287,-10.6395987752,23,0.141178,23,19.0488,64.3610209829,-2.40398198999,92.8317281024,1.39736
-1.54336,0.105245541497,1.46375477503,0.00676258,1.47980044091,1.46272,-0.675581950138,-0.578217671274,0.0,-0.0604423985944,0.0539649485766,53.1777,-0.575509427511,24,0.118298,24,19.935,-0.575509427511,-0.912845101559,-0.575509427511,1.48368
-1.83073,0.661062850197,1.73960978461,0.0224164,1.75652359808,1.73869,-2.23939456588,-1.65911416462,50.7845285238,-0.175444039166,0.0771200258729,54.887,-23.1520096683,25,0.226307,25,20.5488,48.6457571228,-4.0631598224,86.0980300156,1.75989
-1.92672,43.2717957023,1.83398339784,0.036323,1.85190354647,1.83295,23.7817550289,94.5355722624,40.9274706275,-0.256738296817,0.065614087182,56.7475,-4.43456720655,26,0.157024,26,20.9322,66.2039448643,-3.06222922614,94.1451943605,1.85495
-2.0313,0.381294126622,1.93630803444,0.0564583,1.95639562056,1.93516,-5.6401835154,-5.15382700356,6.3836436432,-0.577687566046,0.0814095473552,58.5951,82.5276935949,27,0.217878,27,21.028,87.4991625786,-6.28064611558,96.5109779275,1.95985
-2.34432,0.125257776573,2.22594171071,0.020067,2.24762419692,2.22481,-2.00469591857,-1.79901759978,42.4263654793,-0.199992344146,0.133414986035,60.1617,-0.927734800058,28,1.27091,28,21.2686,59.0402041786,-2.18617272195,90.7210686726,2.25599
-2.57372,0.0560829939339,2.45398920807,0.00112155,2.4757707799,2.45198,-0.112043314802,-0.0560417122689,41.7072453849,-0.0082349560225,0.116192798757,62.3531,-6.66565990024,29,0.664073,29,21.6296,65.4224532155,-0.251394291871,91.789473819,2.48062
-2.87486,37.3198111381,2.73673470964,0.0237895,2.75824478894,2.73461,15.8264406955,94.867975696,41.3165874505,-0.0365756702585,0.133922402404,64.2673,-1.23089422679,30,0.933886,30,21.7713,57.0456551884,-7.35759298285,89.8545482396,2.76452
-3.18039,28.1024330946,3.02309057439,0.0114822,3.04756291389,3.02018,7.94947785534,96.7129132191,42.5287898739,-0.0169824696357,0.151524508336,66.0858,-8.1773249351,31,0.829431,31,22.0724,65.360202819,-3.94557172883,93.8216836872,3.05357
-3.55188,27.9008391433,3.3702126661,0.0223717,3.39611100527,3.36908,6.86899660394,95.0101129707,41.3871699626,-0.120432734933,0.165769586551,67.7425,-6.13006687147,32,1.29467,32,22.5077,65.5427159026,-4.56001134855,90.5907874608,3.40676
-3.61276,0.134516543387,3.43521047636,0.0021098,3.46449314278,3.43203,-0.210768831028,-0.123794483018,36.6282575631,-0.0140721487227,0.188197834286,68.4092,-1.01169623639,33,1.37149,33,23.1544,72.1648732671,-0.619742764224,93.5054884963,3.47054
-4.31225,39.3218322478,4.1141164179,0.0822756,4.141845165,4.11297,67.9462398455,93.9757228195,36.5219542915,0.0115480232926,0.155411914936,69.4292,-4.7671467349,34,0.495928,34,23.7172,76.815037101,-0.0418397337218,94.3211562195,4.15044
-4.72097,43.340920559,4.50571458156,0.0541105,4.53682481647,4.50221,67.4035216011,95.3546921505,2.2093838748,0.184308050265,0.279128968847,69.1369,88.8395101048,35,2.66874,35,24.4318,93.3648871413,-1.25226884693,95.6580926895,4.54664
-5.06376,21.0539204296,4.80611506811,0.192065,4.8413964638,4.80695,86.3183590918,93.9442224311,2.11033037186,3.55388460327,0.259086917906,69.8527,90.0148736838,36,2.49641,36,24.9065,92.1899285414,-9.70600099537,96.1648036646,4.8554
-5.96569,33.6490150581,5.68597519663,0.175059,5.72958768582,5.6836,77.8414296245,95.3570714544,2.33204873373,10.8151850963,0.287834691734,70.6019,90.2540285773,37,2.35666,37,25.2224,94.3225624305,-10.2745306182,98.9620665074,5.74217
-6.11629,2.61161907212,5.80055913373,0.254753,5.85148031649,5.79705,92.7505680481,95.5647369491,34.9572389666,13.6989462118,0.327253415891,70.7113,-3.72880373106,38,3.06375,38,25.6489,74.3189360926,85.7155571554,92.6340988177,5.86322
-6.77765,2.82950801448,6.42258840767,0.725363,6.48322269044,6.41954,92.1692028935,95.2008567958,2.76462002329,31.5955751578,0.324625499337,70.8479,87.940170662,39,1.92592,39,25.9088,91.2465845774,83.4740929262,96.4326544981,6.49614
-7.64043,2.81905878383,7.26134230177,0.550755,7.34243817322,7.25731,91.7115446134,95.1662197023,2.66510892491,24.70971648,0.370667044002,70.6879,87.2024725615,40,2.69244,40,26.053,92.4053116657,85.5732638096,96.6854690744,7.35607
-8.30123,2.36915514583,7.86540731765,0.63472,7.95591359505,7.86153,93.5206746977,94.9862441912,2.71790965316,36.6681553689,0.413728480168,70.7165,90.0828956242,41,1.99435,41,26.4384,92.9492510317,82.3862160488,98.5237520476,7.97827
-9.13439,32.8043374768,8.6425689409,0.250136,8.74573740062,8.63759,80.0070987302,95.27298587,2.53836057748,21.397080521,0.46429019598,70.6565,90.107332431,42,3.60602,42,26.6452,92.8304544211,-7.90496004628,97.7130153898,8.76534
-9.86882,17.2216199614,9.36666374094,0.269602,9.47655986778,9.36384,87.227910469,95.0872281839,1.39056991581,13.0044825546,0.399624184651,70.2428,91.0768664584,43,1.80521,43,27.01,92.6785910287,-4.28697963055,95.1333114786,9.50069
-10.8791,33.5359612075,10.3157244926,0.191514,10.4440964956,10.3129,76.1279933187,94.5952861433,2.00843484403,10.1134580861,0.495230085257,69.9418,92.3921213126,44,3.07329,44,27.2779,94.2100743121,-0.667019196469,99.7691023214,10.4689
-12.099,1.85727148889,11.470944919,0.557627,11.5919236319,11.4705,91.9176387038,94.7512514834,3.49335533488,25.2243408597,0.505350462376,69.6012,87.4563358611,45,4.49046,45,27.5644,92.5877420866,88.0076395664,99.7268897782,11.6096
-12.8098,0.230298897309,12.1412293838,0.787164,12.2631144502,12.1374,90.3533981323,90.6879078632,2.46075378817,23.7770953256,0.582892728131,69.4379,89.5529187125,46,4.2567,46,27.8077,92.9775914452,89.8055965883,97.6488395896,12.2955
-13.77,17.0599359478,13.0704658351,0.510763,13.1971407014,13.0702,86.9479529821,91.220800752,2.00645403001,16.903042035,0.540996034693,69.5599,90.9112811332,47,3.52076,47,28.226,93.0293960043,-0.681630925083,97.5494688582,13.2269
-15.2308,29.7465630353,14.4554371769,0.306093,14.5809420534,14.455,81.9106394833,94.7198552558,2.90904428782,21.6714739666,0.577730552143,69.5019,85.365322315,48,4.2497,48,28.5628,91.2218890869,-2.16814348268,95.4625674154,14.6071
-15.9492,1.54815665813,15.1428077824,0.659264,15.2649967777,15.1422,92.5532823774,94.8803116355,31.9566694973,29.0414142162,0.552781294416,69.7508,-0.0555556189241,49,2.7438,49,28.8474,77.9177761159,86.5094688384,94.2022578559,15.2886
-16.9414,0.212107130092,16.1214190821,0.714672,16.2438777935,16.122,91.5408033912,91.8389645941,1.43556004102,25.8193845621,0.584299092773,70.228,89.2199063373,50,4.10383,50,29.0787,92.3283692753,91.0012066459,93.904070757,16.2653
-18.5251,0.440730237751,17.6279552063,0.709214,17.7407919516,17.6287,91.8032802589,92.2327230789,2.52464380424,27.029122547,0.597958370258,70.7627,88.9786057461,51,4.34213,51,29.2144,93.0975599346,90.5262707719,98.5325995053,17.7617
-19.1776,0.627547746532,18.2788486604,0.690935,18.384250224,18.2813,91.4102293836,92.1905398146,2.00775564432,24.6409468897,0.597499617303,71.5924,88.1456061527,52,3.50559,52,29.4191,91.6797660102,90.2097182728,94.0005435375,18.4093
-20.5163,0.397302183878,19.6130987146,0.749951,19.7117364216,19.6151,91.8149321856,92.3480670332,1.75178842366,28.7386519221,0.679726978143,72.589,87.3156624357,53,3.98483,53,29.5768,90.4291419119,90.8632276056,93.5936165704,19.7311
-21.5923,0.458200183279,20.6613743566,0.767802,20.7505091534,20.6661,92.3212151574,92.8258161531,2.56986619579,32.2517625198,0.697766753272,73.4397,89.7291228283,54,4.33148,54,29.6069,92.7814707055,89.3913005091,98.8813976771,20.7711
