AverageAbsQYDiff,AveragePolicySurr,MaxReturn,AverageY,AverageReturn,QFunRegParamNorm,AverageDiscountedReturn,AverageEsReturn,PolicyRegParamNorm,AverageAbsQ,AverageQLoss,AverageAction,AverageAbsY,StdReturn,StdEsReturn,MinReturn,Iteration,AverageQ,Epoch,MinEsReturn,MaxEsReturn
1.24776335997,-1.0044,156.420319938,1.55548159495,123.359371994,11.5831,9.32763685351,-187.281953547,11.78,0.742577,2.31532,0.210277,1.5657191082,17.4852242455,51.6151196536,89.6322898477,9,0.681568,9,-300.945557684,-132.883428425
0.339251917888,-1.80079,-481.532204663,0.659229928965,-502.492254448,12.1675,-49.6057428836,-299.020917205,12.41,0.740862,0.242053,0.851797,0.784857465723,15.2219240658,0.0,-517.752599227,10,0.649306,10,-299.020917205,-299.020917205
0.209641046591,-1.89439,-557.556026054,0.793008408086,-559.463137962,12.7893,-49.1000329142,-407.758781992,13.7093,0.901199,0.0754803,0.952922,0.924373300622,1.57610610792,0.0,-562.801700532,11,0.790045,11,-407.758781992,-407.758781992
0.230018905064,-2.37228,-573.95587356,1.28773594303,-577.517208365,13.6182,-49.932049812,-431.71059356,14.7053,1.42248,0.0928983,0.991208,1.4399663746,2.51105245673,0.0,-581.499772052,12,1.28542,12,-431.71059356,-431.71059356
0.254022002891,-2.96364,-511.082839114,1.86321530362,-523.805855322,14.4127,-48.317588467,-414.115528939,15.4421,2.01376,0.115123,0.943843,2.02893974678,7.4339252917,0.0,-538.858544332,13,1.86135,13,-414.115528939,-414.115528939
0.294027370207,-3.18017,-444.011633265,2.31528210576,-483.318079499,15.2645,-51.142108932,-387.96499362,16.5755,2.46296,0.155703,0.808951,2.48127268495,27.5061237893,0.0,-542.852730284,14,2.31272,14,-387.96499362,-387.96499362
0.347836912814,-3.35851,-182.859954872,2.60559831064,-232.186290914,16.1953,-30.1220842529,-300.164194611,17.2901,2.71908,0.228647,0.785132,2.74685307321,20.3382723056,0.0,-254.895953049,15,2.60317,15,-300.164194611,-300.164194611
0.357613563768,-3.60931,-198.266877333,2.91071444128,-237.562952497,17.0462,-10.5595478804,-284.289529395,17.7058,2.97288,0.237307,0.593677,2.99271701578,28.4197153233,0.0,-283.296009848,16,2.90904,16,-284.289529395,-284.289529395
0.36424083531,-3.92202,-413.842809347,3.2056623829,-521.303265315,17.8291,-43.4984475769,-296.131226149,18.5202,3.24328,0.244715,0.648281,3.26098258742,100.416972763,0.0,-769.563214225,17,3.20274,17,-296.131226149,-296.131226149
0.378405587481,-4.27784,51.837503118,3.5198237366,-124.772407773,18.5857,-20.7248758855,-267.319445594,19.2629,3.5465,0.262097,0.703755,3.56239053751,105.905950482,0.0,-276.610262511,18,3.51709,18,-267.319445594,-267.319445594
0.398586828914,-4.59781,314.036600588,3.85049422478,201.829541719,19.3426,53.3991063933,-333.452941492,19.7873,3.86976,0.299834,0.694498,3.88516552385,54.5270169015,0.0,113.377656722,19,3.84657,19,-333.452941492,-333.452941492
0.41539651218,-5.09099,321.474258324,4.27943884133,81.2684772711,20.045,46.8618995322,-79.0049574031,20.3941,4.29278,0.329623,0.645074,4.30606029759,293.076957137,0.0,-500.269263424,20,4.27556,20,-79.0049574031,-79.0049574031
0.434397918904,-5.56008,-46.8491530062,4.72177054045,-190.080986648,20.7189,-20.2968380448,109.845364296,20.9257,4.73348,0.348114,0.696849,4.74565421514,72.0473551776,0.0,-301.633327476,21,4.7181,21,109.845364296,109.845364296
0.458749385664,-6.00594,423.033800939,5.18087798495,283.375854589,21.3904,5.1053762214,-32.0327414221,21.4255,5.18964,0.397299,0.733172,5.20043324937,97.0528545016,0.0,136.169323768,22,5.17709,22,-32.0327414221,-32.0327414221
0.476224357881,-6.45233,260.543269925,5.62405974765,117.965138377,22.043,15.3069279575,-63.6121476381,21.993,5.63076,0.426792,0.821017,5.64164983252,62.1286131083,0.0,48.3191177964,23,5.62012,23,-63.6121476381,-63.6121476381
0.50416752411,-6.98123,463.93747231,6.13008682193,339.289779142,22.6814,23.3149380341,99.336606429,22.5544,6.13597,0.480479,0.729205,6.14797026665,54.4304920906,0.0,271.732221162,24,6.12539,24,99.336606429,99.336606429
0.533078683348,-7.52367,504.179000884,6.6355705178,369.476221018,23.2854,18.502250862,231.760446075,23.0506,6.64029,0.534966,0.746834,6.64980753498,165.026758414,0.0,-109.61332777,25,6.63156,25,231.760446075,231.760446075
0.564516239606,-8.17004,555.040842105,7.25212549024,419.510270281,23.8915,51.1353774585,185.491473408,23.577,7.25165,0.603796,0.760433,7.26212370422,98.9164237572,0.0,184.847467216,26,7.2461,26,185.491473408,185.491473408
0.589272941487,-8.82176,876.593849615,7.86901841484,603.271233673,24.395,74.6778536628,315.016872528,24.0615,7.86901,0.649735,0.783544,7.87737438703,179.312711968,0.0,289.78075878,27,7.86419,27,315.016872528,315.016872528
0.616982284439,-9.63487,986.061345098,8.62138991601,719.270954462,24.9523,95.8883578578,355.023448592,24.554,8.62049,0.72695,0.82977,8.62824124947,151.127480221,0.0,533.851619762,28,8.616,28,355.023448592,355.023448592
0.65003567191,-10.6205,1158.628358,9.59790660602,742.659272747,25.4767,67.6905943909,479.025186669,25.0098,9.59552,0.8015,0.790193,9.60353459224,255.522745415,0.0,492.769498008,29,9.59286,29,479.025186669,479.025186669
0.694882294147,-11.6456,1158.27551072,10.6433273075,742.302993477,25.9769,87.8260688578,713.583339849,25.4069,10.6407,0.96128,0.869418,10.6491475199,178.973058209,0.0,495.094693265,30,10.6377,30,713.583339849,713.583339849
