MinReturn,AverageQ,AverageAbsQ,Epoch,MaxEsReturn,MinEsReturn,AverageY,AverageAction,AverageReturn,StdEsReturn,AveragePolicySurr,Iteration,PolicyRegParamNorm,AverageAbsY,AverageDiscountedReturn,StdReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss,MaxReturn,AverageEsReturn
723.369513271,5.97375,6.4992,30,124.969747909,124.969747909,5.97858392231,0.894893,838.945506616,0.0,-6.80143,30,24.229,6.545901782,78.3876743002,84.5921773954,25.8421,0.576683394978,0.666209,1049.27049931,124.969747909
468.132848046,6.41127,6.75197,31,298.997481248,298.997481248,6.41596582977,0.818976,644.966413941,0.0,-7.26639,31,24.5445,6.79687718914,74.9041429601,103.2922226,26.3139,0.595528986221,0.720423,836.064135415,298.997481248
483.390735609,6.95373,7.14246,32,255.191814233,255.191814233,6.95825748489,0.843667,596.43841339,0.0,-7.8265,32,24.8488,7.18429935046,91.5898299174,90.7355368338,26.7603,0.604882434169,0.733507,774.832695377,255.191814233
527.120132699,7.55316,7.63793,33,387.18873669,387.18873669,7.55738273333,0.852512,626.40575523,0.0,-8.42822,33,25.1808,7.67049502183,68.0515110953,118.40210643,27.2133,0.625546933426,0.784076,964.285489717,387.18873669
505.960479677,8.13136,8.16665,34,398.200313524,398.200313524,8.1360245641,0.822962,1042.17186574,0.0,-9.03063,34,25.5262,8.18751430599,130.452551387,426.016029264,27.6586,0.635529403897,0.806485,1841.28017761,398.200313524
-36.4129106037,8.75854,8.77931,35,410.395192306,410.395192306,8.76352539388,0.845395,627.227092682,0.0,-9.67883,35,25.9197,8.79373527371,79.3105832522,258.642140639,28.0864,0.643530538429,0.819313,883.760615002,410.395192306
925.755353828,9.59701,9.60859,36,322.523182811,322.523182811,9.6020723594,0.870716,1490.62472589,0.0,-10.5537,36,26.3317,9.61929861893,185.105089413,694.903059763,28.5285,0.668677122815,0.919014,2570.29528778,322.523182811
496.288136531,10.4513,10.4567,37,737.720260229,737.720260229,10.4567515128,0.823233,1016.10609065,0.0,-11.4169,37,26.6923,10.4658988396,130.455076455,373.46143322,29.0019,0.691816559444,1.02074,1983.29223713,737.720260229
497.008288866,11.2078,11.2104,38,530.520938247,530.520938247,11.2129014835,0.829999,1627.49124737,0.0,-12.2075,38,27.0504,11.2179882711,140.001882573,470.643587081,29.4349,0.698282274941,1.01994,1938.4377093,530.520938247
828.279564006,12.2782,12.2799,39,454.801351947,454.801351947,12.2845098734,0.870713,1070.98170153,0.0,-13.3173,39,27.3981,12.2879057879,148.269398728,261.63359263,29.9195,0.731856750108,1.1687,1673.31239306,454.801351947
659.593407246,13.1712,13.1724,40,825.416253246,825.416253246,13.177136859,0.872885,1223.36930239,0.0,-14.2438,40,27.7521,13.1790196507,154.011880272,586.916561995,30.3387,0.734928352673,1.15464,2571.80708266,825.416253246
1521.05686492,14.0212,14.0218,41,379.740744576,379.740744576,14.0268709697,0.858965,1744.2054235,0.0,-15.0997,41,28.0997,14.0282975554,151.21243743,87.4293049551,30.8202,0.752544047681,1.23764,1833.39274469,379.740744576
