AverageAbsQYDiff,AverageReturn,AverageAction,AverageQ,MinReturn,MinEsReturn,MaxReturn,Iteration,AverageEsReturn,StdEsReturn,AverageY,AverageAbsY,Epoch,StdReturn,PolicyRegParamNorm,AveragePolicySurr,AverageDiscountedReturn,QFunRegParamNorm,MaxEsReturn,AverageAbsQ,AverageQLoss
1.41185897513,113.895965933,0.222896,0.674802,88.299448784,-282.281305612,148.500833131,9,-203.173855575,45.8368610486,1.6694824578,1.68201110344,9,15.7479461126,11.7807,-1.067,5.73450634884,11.5831,-138.968049918,0.827456,2.95307
0.365839914509,-486.135410096,0.812646,0.687639,-486.972226234,-269.462099846,-484.979203934,10,-269.462099846,0.0,0.696280160226,0.814525736532,10,0.624905015731,12.3561,-1.74046,-47.5163956276,12.2274,-269.462099846,0.768037,0.265805
0.238413304457,-518.08329055,0.906341,0.696145,-524.032810676,-397.859861867,-511.078921906,11,-397.859861867,0.0,0.697219030466,0.863272453357,11,4.09850426914,13.8153,-1.75539,-51.7366123751,13.0179,-397.859861867,0.830771,0.0977725
0.243596673646,-541.111390704,0.916941,1.01639,-542.320944639,-407.934437447,-537.838607782,12,-407.934437447,0.0,1.01784494232,1.26770013835,12,1.23655332869,14.6168,-1.98556,-46.3138480864,13.7845,-407.934437447,1.24258,0.101993
0.259517041663,-424.999479145,0.747448,1.42971,-436.022603205,-406.351427171,-413.989733679,13,-406.351427171,0.0,1.43146954709,1.79892679509,13,6.61783358736,15.3211,-2.29531,-37.8956367729,14.5688,-406.351427171,1.77508,0.117939
0.285485806554,-429.898581675,0.774504,1.73501,-474.008377885,-379.298833711,-378.279678634,14,-379.298833711,0.0,1.7365366721,2.18246467519,14,27.9546525357,16.1903,-2.58687,-23.1637304133,15.2911,-379.298833711,2.15944,0.141675
0.322404952605,-351.066384147,0.701534,2.02189,-399.46488831,-304.207504493,-245.518158095,15,-304.207504493,0.0,2.0236496346,2.376482611,15,49.458648944,16.943,-2.66633,-4.91273070633,16.0381,-304.207504493,2.34695,0.188552
0.335541977212,-306.727241078,0.780308,2.21644,-581.09125636,-188.015212801,-203.519899671,16,-188.015212801,0.0,2.2185898196,2.5151582951,16,111.118649347,17.7731,-2.88858,-39.1953106713,16.8242,-188.015212801,2.4861,0.205645
0.34195530939,-96.0873366871,0.690566,2.49929,-141.328190535,-279.178469996,-34.2898450318,17,-279.178469996,0.0,2.50149918422,2.72805448199,17,33.1484676068,18.4341,-3.20787,-3.60050283623,17.6143,-279.178469996,2.70003,0.21412
0.354406537718,-122.385330582,0.662763,2.77987,-617.780199975,-224.729058145,27.134205711,18,-224.729058145,0.0,2.78199090419,2.9621534721,18,170.428251454,18.9361,-3.48474,-29.4307309459,18.3768,-224.729058145,2.93594,0.227622
0.384838563835,-51.7077805915,0.753142,3.11166,-494.09023187,-162.120718186,39.4867433531,19,-162.120718186,0.0,3.11467023242,3.27376841892,19,149.398127882,19.3822,-3.82287,6.64570896557,19.1526,-162.120718186,3.24629,0.283122
0.410148952663,117.644527401,0.773464,3.44328,-58.4397884748,-58.6153184333,198.439649154,20,-58.6153184333,0.0,3.4465248344,3.59476826447,20,67.6361642445,19.9493,-4.15831,-2.83237240195,19.8869,-58.6153184333,3.56787,0.318912
0.435323761051,69.1104956965,0.746506,3.85711,-244.266238016,160.988510814,207.3669474,21,160.988510814,0.0,3.86027519256,3.97729949836,21,142.895045415,20.6528,-4.67102,-10.1494978994,20.5782,160.988510814,3.95253,0.350597
0.469034154435,183.733262401,0.776696,4.39242,-126.841928742,132.169502533,281.378219595,22,132.169502533,0.0,4.39696340355,4.47114601194,22,115.435660091,21.2641,-5.28481,7.33526972196,21.2769,132.169502533,4.44856,0.406245
0.490457417879,410.768141159,0.768802,4.9562,-222.197639134,97.5134981832,554.090863443,23,97.5134981832,0.0,4.96064076668,5.01126696089,23,218.438093408,21.7691,-5.85442,32.2601679935,21.9248,97.5134981832,4.99224,0.440164
0.514733531586,270.03355766,0.794774,5.54914,146.156390698,142.344442325,370.801145651,24,142.344442325,0.0,5.55399910449,5.58767852953,24,74.0982489155,22.2564,-6.43887,3.42524118394,22.595,142.344442325,5.57194,0.49292
0.530968531993,128.286502899,0.786476,6.15861,-286.507542452,183.783907662,437.261138088,25,183.783907662,0.0,6.16378536387,6.18545519884,25,225.154670353,22.6983,-7.02991,-22.1827386812,23.172,183.783907662,6.17327,0.531229
0.551512693582,-169.248867979,0.787213,6.76065,-567.41962578,325.252289665,830.34388223,26,325.252289665,0.0,6.76487928923,6.77951560955,26,502.755643946,23.1506,-7.61793,-28.9300104838,23.7197,325.252289665,6.76971,0.569117
0.575277248962,280.129588241,0.774576,7.44232,-456.367362571,387.679774091,893.712297558,27,387.679774091,0.0,7.44763180855,7.45962141242,27,569.035142498,23.6646,-8.33419,-9.9641903602,24.2436,387.679774091,7.44886,0.62506
0.592074249139,384.466366305,0.811868,8.13976,-266.278249917,251.710748738,639.901832337,28,251.710748738,0.0,8.14394269824,8.15063731405,28,329.060295901,24.1,-9.05319,16.3539202413,24.7872,251.710748738,8.14283,0.671813
0.607429831971,864.759443467,0.81407,8.87116,727.022853699,397.716433808,962.974276736,29,397.716433808,0.0,8.87606153348,8.88138454497,29,76.4762831722,24.5602,-9.80995,60.9362874273,25.2929,397.716433808,8.87388,0.708693
0.626249164388,823.556044751,0.809857,9.69736,683.577512496,436.011241785,1018.34472541,30,436.011241785,0.0,9.70256385444,9.70636031267,30,112.103323481,24.9401,-10.6651,95.907407352,25.8124,436.011241785,9.69912,0.782371
