AverageQ,StdReturn,AverageEsReturn,MinEsReturn,AverageY,PolicyRegParamNorm,AverageAbsQ,QFunRegParamNorm,AverageAbsQYDiff,MaxEsReturn,StdEsReturn,MaxReturn,Iteration,AverageAbsY,AveragePolicySurr,AverageReturn,MinReturn,AverageDiscountedReturn,AverageAction,AverageQLoss,Epoch
-0.258702,0.0479690359098,9.68895774955,1.52478959087,0.835569372527,11.23,0.287475,11.1296,1.09427103948,54.7287588973,6.39521267662,9.31669362636,9,0.835569372527,0.0254241,9.20081964476,9.08706502642,8.77799873474,0.217784,1.70176,9
0.420957,0.0174596801089,3.76728052749,2.88281576429,0.42459080216,11.6689,0.422022,11.2987,0.0982260026028,7.21571351273,0.790200024508,3.12166665753,10,0.425441581749,-0.53022,3.08607504019,3.05051822828,3.03688389113,0.999984,0.0342194,10
0.358907,0.0601443618242,3.79530503159,2.69122321374,0.359206815835,12.0174,0.361939,11.3713,0.0356823773497,12.4712966228,1.14594535983,6.0180698847,11,0.36007225763,-0.382316,5.83577807707,5.70294100543,5.67703152322,1.0,0.00363006,11
0.353896,0.0609703840372,7.66434928181,5.23717633628,0.353982700367,12.0185,0.358778,11.4197,0.0256711040637,32.2934865644,4.56614727042,6.03039028598,12,0.356677030294,-0.384352,5.83653887924,5.7106515555,5.67775915738,1.0,0.00147256,12
0.375584,0.0627749831563,6.7935321214,5.31249106732,0.375541647871,12.0185,0.38025,11.5369,0.0231105847409,14.3436098483,1.76561335967,6.00816913473,13,0.379129636184,-0.383423,5.83582209836,5.7026231562,5.67702196354,1.0,0.00122154,13
0.384542,0.0597937941626,7.23427151825,4.6250395672,0.384541119007,12.0185,0.388837,11.666,0.0203067805883,30.3109748876,3.4265987812,6.00524532509,14,0.388356290841,-0.379318,5.8323269606,5.70256380453,5.67366038733,1.0,0.000899366,14
0.382914,0.0615488474696,6.94116062358,5.19515410111,0.38295132382,12.0184,0.387496,11.8353,0.0210033809787,22.2817878633,2.42819614395,6.01502018358,15,0.387029416328,-0.367973,5.8373597421,5.68850050937,5.67859942125,1.0,0.000925026,15
0.382985,0.0588005091381,7.67899690274,4.5453245504,0.383042940233,12.0188,0.386808,12.0691,0.0186615907314,57.0997024447,6.3260303677,6.00458098411,16,0.386651289593,-0.361247,5.83493218602,5.70455179859,5.67615743665,1.0,0.000756189,16
0.379653,0.0621266233535,6.59542439087,1.83127320843,0.379674849286,12.0192,0.383345,12.3265,0.0174580355384,12.7992987008,1.57846251776,6.02880713247,17,0.383168203601,-0.359449,5.83865718042,5.70080568529,5.67982931916,1.0,0.000711621,17
0.378886,0.059990235204,7.35059847251,5.32710035876,0.378919259534,12.0169,0.382507,12.6562,0.0173030755237,40.5740424937,4.17842632503,6.00778400692,18,0.382435967589,-0.35836,5.83353994794,5.69418278099,5.67474610009,1.0,0.000710414,18
0.385545,0.97340361809,16.2303294516,1.7935207274,0.385622934745,12.6815,0.389184,13.0208,0.0186991914118,59.2138613489,16.0585187189,41.9813036393,19,0.389188143649,-0.455984,38.79743675,36.5650085073,34.4772813704,0.987763,0.00120145,19
0.601728,4.66146153808,49.6102057576,28.3056173445,0.602326626435,13.5516,0.604649,13.7664,0.032311078051,89.5536260373,16.0983153639,79.1185321776,20,0.604933349536,-0.777263,68.7531854332,56.7369908833,56.4421030151,0.771066,0.00507473,20
0.824855,5.12215037659,79.3913853961,40.1515867695,0.825262540784,14.2961,0.826239,14.3471,0.036272803206,175.065708641,40.3550214315,85.3478414332,21,0.826376500623,-1.04353,73.4114566567,61.7770435746,59.5506306876,0.735731,0.00610948,21
1.03599,7.4690115965,81.1698203499,22.4064600287,1.03653506345,15.1563,1.03721,14.9351,0.0449472729593,152.572711391,39.3507540009,114.898706313,22,1.03735638956,-1.2628,99.6075339724,82.2417327663,75.3787466466,0.721597,0.00929341,22
1.23066,4.44833354337,85.7320885276,27.9475195789,1.23111846717,15.9911,1.23206,15.5645,0.0485851727944,184.412082353,37.3370628998,114.560436048,23,1.23212337559,-1.47485,102.82372357,95.2128846802,77.1358698756,0.718542,0.0109406,23
1.42477,1.48330324342,95.7773011921,28.3603168304,1.42514215287,16.7817,1.42641,15.9779,0.0494479932193,169.694763999,41.2326287649,132.779660891,24,1.42625249173,-1.67148,130.090161812,127.109434445,90.3157234714,0.703285,0.0113111,24
1.5942,4.20690691095,133.953071663,40.5216773318,1.59451880016,17.674,1.59609,16.5132,0.0553659989166,201.58017188,48.0542547991,162.236934065,25,1.59568468035,-1.86879,153.677742898,144.923325711,100.218755942,0.714754,0.0133663,25
1.78569,5.15694793953,113.788544759,18.7480589183,1.78629808699,18.6144,1.78738,17.0314,0.0577543105294,178.101473737,44.5947097649,163.534726012,26,1.7871820376,-2.07158,153.395242103,144.64530331,100.658014636,0.70563,0.0145043,26
1.97281,1.64447973749,113.229416497,36.8327100527,1.97348180988,19.7209,1.97477,17.5421,0.0656284328898,192.066445713,44.7078089215,158.157338548,27,1.97447045494,-2.26193,154.651459762,150.300830497,100.770222784,0.701993,0.0171712,27
2.15096,6.16452775106,144.23837681,68.1907375528,2.1513862869,20.5613,2.15294,18.1489,0.0728408310257,178.708905668,31.5746430578,177.861531648,28,2.15227330138,-2.45128,161.47178351,145.070815447,103.258896099,0.762802,0.0213116,28
2.35847,9.0990552088,129.021040242,18.140766861,2.35917624651,21.2405,2.36021,18.6575,0.0726903999639,176.501408479,44.5257249237,167.474349247,29,2.35984204871,-2.68885,150.443771715,132.659343585,98.4825213217,0.804001,0.0214476,29
2.52479,8.76083908961,144.533248593,85.3071440541,2.52533454961,22.0347,2.52674,19.1879,0.0752277883004,188.717953963,31.7636915582,172.710583449,30,2.52606540932,-2.84379,150.028526388,133.890096468,98.1296649445,0.801501,0.0219402,30
2.68556,3.03043168589,147.900543113,103.775166893,2.68613403941,22.493,2.68773,19.7719,0.0821889131525,190.384546353,20.6055848499,128.406665612,31,2.68688203858,-3.01736,119.40344751,114.499661966,84.6248023233,0.844062,0.026086,31
2.87469,5.49028942617,135.814609489,30.0734507957,2.87535870197,22.9457,2.8767,20.2636,0.0828622640276,195.987003143,59.566061224,187.68656998,32,2.87626512046,-3.18441,178.201582779,165.582284419,109.291896973,0.723787,0.0296309,32
2.98387,3.58759810833,158.331693241,55.5508521735,2.98427292177,23.4606,2.9867,20.7592,0.0878688027605,198.966839555,44.8599931169,198.583716865,33,2.98577299707,-3.27912,188.295916605,179.452130065,111.235300037,0.748587,0.0347254,33
3.11764,2.74724991653,169.52349624,87.923549999,3.11808953274,24.0005,3.11988,21.2577,0.083918311973,198.663754474,32.7957859726,201.463441562,34,3.11915637436,-3.41642,196.952580052,187.180039189,113.083635724,0.708128,0.0291545,34
3.22645,1.19538353405,129.290727599,30.0658662818,3.22694349635,24.3271,3.22971,21.7244,0.0893764337787,191.486413556,56.9999645169,190.278680402,35,3.22877111737,-3.50688,187.467401814,184.995316583,111.723351136,0.740694,0.0336397,35
3.32333,1.77856226457,132.177170632,3.58847149176,3.32377729404,24.8217,3.3262,22.1749,0.0905577316044,224.628850173,73.3216140779,193.835323816,36,3.32535973363,-3.62046,190.175216087,184.429292104,113.332418631,0.751705,0.0357785,36
3.4406,13.0054707535,75.6214917633,10.3263846884,3.44138615106,25.5377,3.44428,22.697,0.0963980827797,205.177407472,64.5277199306,54.564784785,37,3.44322811949,-3.83177,35.5191207335,22.9420389322,31.1255483442,0.906418,0.0396326,37
3.66209,2.94645132035,74.7349798354,3.7797344244,3.66324470806,25.89,3.66588,23.2003,0.118253568891,200.593933655,63.108981311,190.04649022,38,3.66516151183,-4.16796,185.197718029,178.502043624,115.929165571,0.591637,0.0569747,38
3.96767,9.05361778991,166.277756707,12.0386796884,3.96870071831,26.0394,3.97078,23.5531,0.125303251922,251.053264971,75.1891399089,228.233547967,39,3.97048982593,-4.44314,195.907416365,186.622931721,120.79018605,0.60449,0.067112,39
4.17018,4.0289876971,186.285234378,28.1014495775,4.17101032279,26.2607,4.17266,23.9869,0.128940319346,242.210289781,54.1823984281,205.423971859,40,4.17201565939,-4.63836,193.998688182,184.537624552,119.329977013,0.529824,0.0810736,40
4.365,4.64951835783,156.819251956,14.9801436454,4.36615741614,26.6034,4.36727,24.3282,0.132630889935,231.906201425,79.400684006,214.502651587,41,4.36711165405,-4.81983,207.027221926,196.682335177,126.368394997,0.562499,0.0903909,41
