AverageY,AverageAbsQ,AverageAbsY,AverageReturn,AverageAbsQYDiff,Epoch,QFunRegParamNorm,AverageQ,AveragePolicySurr,AverageQLoss,AverageEsReturn,AverageDiscountedReturn,MinForwardProgress,MaxReturn,PolicyRegParamNorm,StdForwardProgress,MinEsReturn,MinReturn,StdReturn,StdEsReturn,AverageForwardProgress,MaxEsReturn,AverageAction,MaxForwardProgress
0.0160151245309,0.0311907,0.0205941545897,-5.52919747907,0.0476680114883,9,15.1532,-0.0291407,0.00454171,0.00243595,1.25594519391,-5.26491531622,-0.0168661427756,-2.46787288082,16.0927,0.00348558027544,-6.76443723144,-8.08348849904,0.802640550162,3.4226831843,-0.00557696227837,10.66559781,0.999405,0.00537104429947
0.0753442370734,0.0769533,0.0794803906244,-5.52042014994,0.0154337932828,10,15.5502,0.0753331,-0.120755,0.00105877,-5.59140304565,-5.25631852254,-0.0190644884038,-2.52561264138,16.2345,0.00345218051566,-7.94003165911,-8.60487068735,0.800475932787,0.954881971656,-0.00550792335682,0.381917593756,1.0,0.00497819536958
0.0961882939897,0.107988,0.109868522306,-5.5856368597,0.0136518700029,11,16.0642,0.0972304,-0.124108,0.000605234,-5.59515767115,-5.31976877641,-0.0166755683069,-1.98221024842,16.4961,0.00354171379732,-7.48680989346,-8.14157636602,0.827499473814,0.870918739688,-0.00580111287729,-1.51994028546,0.999989,0.00728907809023
0.0505338248082,0.110794,0.1120817036,-5.60974811253,0.0130923505362,12,16.5663,0.0511349,-0.0416664,0.000655227,-5.53487029395,-5.34291599808,-0.0157764944692,-1.9877085378,16.53,0.0034866246258,-7.51587044491,-7.87027852125,0.80542967475,0.785789919421,-0.00587176022848,-2.11467426788,0.999997,0.00455969252616
-0.0179255046234,0.109923,0.110474139126,-5.60146702408,0.0142190735565,13,16.9718,-0.0176549,0.0465938,0.000691965,-5.53833046756,-5.33516245274,-0.0170468690051,-1.41968934362,16.5464,0.00334489953144,-7.55984402836,-8.08457163798,0.785711563732,0.848648266467,-0.00587480105748,-3.0825918789,0.999999,0.00614710267121
-0.0999553406711,0.131538,0.132793984652,-151.061260811,0.0226830592074,14,17.4777,-0.0995056,0.151156,0.0017403,-4.50016554065,-71.4035390473,-1.11621528466,-96.6792872161,16.381,0.122935323303,-7.02229609834,-226.025246614,24.8939360596,1.72638395525,-0.743525190277,0.388001814034,0.99749,-0.475676784137
-0.185756357321,0.188562,0.189176368468,-5.58399334165,0.0249159531994,15,17.9009,-0.185346,0.246352,0.00211084,-6.27215600578,-5.31804037148,-0.018694930027,-2.72717497689,16.5516,0.00354137943577,-113.505391798,-8.54756281999,0.818305179131,9.03364378833,-0.00579937396061,-2.93411313778,0.999484,0.00489200055843
-0.264476743234,0.263923,0.264553526282,-1.90306690395,0.0236115112235,16,18.3127,-0.263797,0.318252,0.00172187,-2.69782668755,-1.77833557657,-0.0288863157724,2.91824581207,17.0912,0.00700689096555,-6.4194553293,-7.39338836544,1.51760719108,1.36488758781,-0.00331132342259,1.55940856294,0.987731,0.0193864619263
-0.349446999061,0.349149,0.349489656166,-5.56683958625,0.025814992236,17,18.716,-0.34902,0.400974,0.00188499,-5.60262025084,-5.30136185593,-0.0177119561329,-2.27519985003,17.1028,0.00346632300783,-7.4961364494,-8.32107779263,0.803533749687,0.859017721689,-0.00569891428127,-0.625567183028,0.999999,0.00581823035229
-0.402881770466,0.402643,0.402939168398,-5.5674644645,0.0185609962892,18,18.9383,-0.402506,0.441695,0.00100922,-5.61401080855,-5.30200190106,-0.0169660527162,-2.18855637353,17.1104,0.00345228863596,-7.97125247781,-8.32468972965,0.797926185282,0.821716426657,-0.0057052944814,-1.59217406341,0.999999,0.00499312264925
