PolicyRegParamNorm,QFunRegParamNorm,MinReturn,AverageAbsQYDiff,AveragePolicySurr,MinEsReturn,AverageQLoss,Iteration,StdEsReturn,AverageAbsQ,AverageAbsY,MaxReturn,AverageDiscountedReturn,StdReturn,AverageQ,AverageReturn,AverageY,AverageAction,MaxEsReturn,AverageEsReturn,Epoch
11.2289,11.1297,9.0855599553,1.83242835668,-0.0136809,3.10851841736,3.82421,9,6.89704162014,0.282284,1.60002190485,9.34979095523,8.79309500259,0.047976731031,-0.232406,9.21731803252,1.60002190485,0.219395,60.0645209979,9.67850249787,9
12.3209,11.4442,5.09118944684,0.125352256159,-1.25667,2.4355642569,0.0580032,10,2.75136048484,1.1838,1.19620272038,5.41752676485,5.13479000651,0.0401336600151,1.17541,5.29582022638,1.185063218,0.999408,19.0757311331,4.96336046381,10
12.5038,11.8468,5.06399079421,0.0705175406821,-1.42417,4.93111316433,0.0130299,11,5.71033830907,1.42777,1.4277855199,5.41989999686,5.13649278294,0.044291699805,1.41141,5.29762116017,1.41207395628,0.999998,40.2287862652,8.27274518842,11
12.5151,12.5792,5.06523876959,0.0802082728985,-1.82317,4.45221985355,0.0177441,12,2.98365086946,1.83274,1.83241431957,5.41289609313,5.13523745268,0.0429376169283,1.80759,5.29630684002,1.8081520183,0.999999,23.6492096122,6.94923465371,12
12.5201,13.5394,5.08947080943,0.0902329037245,-2.23402,1.08442565694,0.0238437,13,2.13512566323,2.26936,2.2691937598,5.40918568464,5.1362271917,0.0425248471452,2.23903,5.29735522221,2.23923442189,1.0,14.7885877766,6.36056804192,13
12.5226,14.5069,5.08698004184,0.0930928601188,-2.55952,4.56465952681,0.026617,14,4.30858353,2.63562,2.63607681151,5.40609494183,5.13582087166,0.042730549355,2.6007,5.2968941488,2.60110555157,1.0,40.7136929476,7.15558167528,14
12.8529,15.5539,36.5591584856,0.105926368409,-3.04022,4.74293528289,0.0378453,15,11.0361060026,2.92642,2.92618453267,40.7217338177,34.4958666912,0.906744276764,2.88551,38.8180515892,2.88579727843,1.0,41.6105006472,10.6560752052,15
12.859,16.9417,36.642642087,0.181299327903,-5.07806,32.4236962568,0.192246,16,6.76735677841,4.1701,4.17151383023,40.7184614371,34.4420484535,0.920789294739,4.13932,38.750809188,4.14191976572,1.0,80.628407524,42.1703552714,16
12.8625,18.3657,36.6411090293,0.246531590924,-6.85086,30.3909784726,0.36452,17,4.18272982432,5.80611,5.80710556301,40.7261043098,34.4442165551,0.943660287489,5.78304,38.7530262136,5.78581435466,1.0,61.6257071775,41.2787166032,17
12.8612,19.8288,36.6024427922,0.289358702533,-8.52233,38.40058404,0.437975,18,3.68758576269,7.29425,7.29357122649,41.8393734954,34.5166408316,0.948177302526,7.27283,38.8473445479,7.27527451526,1.0,55.2362726021,41.6145933327,18
12.8634,20.9887,36.6765717977,0.291554904775,-10.2525,35.2114588655,0.367484,19,3.70233603384,8.85884,8.85735366674,40.6470650755,34.454976731,0.936526276354,8.84123,38.7674229361,8.8430759757,1.0,55.5837578888,40.7453859936,19
12.8668,21.9615,36.5614506466,0.300899396275,-11.9982,7.35099371915,0.320638,20,6.17369892265,10.4726,10.4711094165,40.7525461865,34.5193836871,0.973605944303,10.458,38.8496018374,10.460079817,1.0,57.8863751794,40.4580967251,20
14.1022,22.8946,120.838496945,0.317064076317,-13.7607,27.7169149763,0.351264,21,31.5749649462,12.0948,12.0930271126,134.8447373,90.6696431494,2.79210699424,12.0796,127.067988311,12.0823913958,0.990844,180.543848301,50.561933348,21
15.6414,23.6875,170.366172699,0.344743159699,-15.7868,8.0048090206,0.394268,22,50.850703482,13.7117,13.7084105914,176.457641933,111.782399367,1.58901692298,13.6962,173.45914882,13.698609805,0.718976,192.178031046,151.13400721,22
16.3793,24.5888,172.093074972,0.395081903157,-17.6963,24.9451069104,0.556229,23,54.1453529291,15.5111,15.507503338,178.619234547,112.514858054,1.34246511614,15.4967,174.869535514,15.4996150558,0.722939,208.087550125,150.644153533,23
17.0692,25.4161,171.021754563,0.415169493553,-19.6468,23.3555096826,0.570858,24,52.605224744,17.4131,17.4097222646,177.517937867,112.220165059,1.14377533762,17.3986,174.120657262,17.4012616268,0.74966,197.454999101,145.075173463,24
17.8455,26.2828,170.865305255,0.463737260901,-21.5594,19.0463981629,0.751489,25,42.3827177051,19.2714,19.2671402397,177.293842339,111.713947474,1.18575003178,19.257,173.438419268,19.2595112089,0.825965,191.325497891,164.909787434,25
18.8469,27.0944,189.573365579,0.510053295254,-23.493,20.1758292953,0.959976,26,49.573206787,21.0461,21.0416866006,202.808651306,120.035671314,2.78681796144,21.0302,195.088317556,21.0337509252,0.306179,192.813615372,147.11519929,26
19.7513,28.0179,275.893551482,0.566287348613,-25.6951,25.8802635276,1.24486,27,80.9598519264,22.8381,22.8337573444,294.624733609,147.732671102,5.03037684492,22.8241,284.316089093,22.8273381985,0.25748,285.427886079,190.013403536,27
20.4741,29.0025,268.925974058,0.647492580674,-27.9865,25.5500726005,1.61534,28,91.7341052552,25.1318,25.1266362788,287.72414521,146.308307704,4.75845796707,25.1142,276.991233762,25.1189052111,0.350327,294.802081121,207.622378665,28
21.1291,30.0109,268.716209426,0.735200244874,-30.2866,12.4042173297,2.37944,29,118.984997428,27.4087,27.4019075998,327.552614868,151.605758822,8.70260544785,27.392,312.912487585,27.3966487024,0.313969,406.311753491,212.074770392,29
21.7055,30.9939,280.540669911,0.780195318383,-32.3705,131.597479331,2.60937,30,87.3211965666,29.4478,29.4406756664,301.882537975,149.508485938,4.64863226813,29.432,287.835737241,29.4364359131,0.335366,392.752261522,248.622361083,30
22.3307,31.9663,314.29295676,0.834502352642,-34.571,27.7291485941,2.92029,31,75.3534141711,31.6372,31.6282534349,418.571563307,164.654776719,26.3693662662,31.6196,371.419596083,31.623312924,0.370605,276.892416876,168.89635297,31
22.9352,32.9395,330.065308287,0.896068387526,-36.5078,6.82905307645,3.65422,32,143.270910327,33.5764,33.5665477986,379.392443575,171.547299338,8.68755213708,33.5562,368.879635899,33.5627952547,0.401061,392.181279003,205.128903038,32
23.4925,33.8354,256.47973135,0.937380160619,-38.5276,47.7903970029,3.94604,33,112.858747078,35.6027,35.5916410128,396.6648279,154.222220763,39.1089732662,35.5833,309.80845856,35.5878643416,0.396726,412.997175955,319.286207011,33
24.1482,34.8116,416.476649305,1.02882096658,-40.7602,84.8771486867,4.86012,34,107.189148173,37.8023,37.7861736875,442.918877301,180.873124871,6.5671042729,37.7794,429.608655744,37.783226384,0.350902,399.794596763,264.739229846,34
24.6845,35.6854,363.172950728,1.06682250731,-42.7745,106.029533508,5.01495,35,88.2801039219,39.7816,39.7690264165,438.911535215,174.918448177,19.7293343018,39.7593,394.483330851,39.7663252054,0.322326,432.348544691,264.408582816,35
25.1316,36.5743,358.179781101,1.10922918506,-44.7947,12.3407426904,5.75461,36,143.254175572,41.8105,41.7946585296,478.716295758,176.877363698,28.8404308577,41.7849,410.437833247,41.7919400172,0.376974,472.210237233,277.41231595,36
25.5331,37.4138,314.232816455,1.16757866562,-47.0278,11.8343403079,6.29842,37,141.61336719,43.9628,43.9460149272,375.262078075,166.313484782,17.9234859967,43.9386,350.201015221,43.9435639774,0.481846,407.077403141,236.05260539,37
25.9538,38.3231,302.814338927,1.23381902863,-48.9583,80.8878496485,6.99363,38,117.561337056,45.8459,45.8250746659,376.336651681,167.033831374,16.4662180069,45.8145,345.441180238,45.8223948036,0.51599,397.710608766,246.41916559,38
26.4117,39.2093,338.066934876,1.27457408126,-51.2074,131.190702077,7.83247,39,78.4696649322,48.0445,48.0222579601,369.240688705,163.440545389,4.83961386586,48.011,352.819727066,48.0182730908,0.472864,353.52413635,247.086211671,39
26.8404,39.9789,321.654883731,1.2708335088,-53.2776,87.4197186728,7.5311,40,122.966826775,50.0549,50.0318327919,404.668696679,168.576139276,19.2739159987,50.022,350.619575292,50.0284611861,0.45075,537.035090856,324.5681058,40
27.3237,40.6929,284.80834556,1.30195998962,-55.4352,74.2332195027,7.82277,41,80.8089063921,52.1348,52.1111875171,344.465505927,157.061412475,17.376558586,52.0999,307.704718573,52.1065321191,0.483704,376.403209856,265.022600279,41
27.7867,41.5229,330.660880661,1.40372097935,-57.516,9.62655383788,9.64102,42,106.841642407,54.24,54.2159813778,404.028134713,169.654013971,17.9906010493,54.2028,367.258644379,54.2113371463,0.384463,370.081508819,250.816449833,42
28.2426,42.2702,308.854708334,1.44870088111,-59.6554,25.0391602887,10.2102,43,100.937347232,56.3371,56.3084847437,367.635184626,171.710688901,12.8904905679,56.2936,342.975483311,56.3015777602,0.448388,341.888665821,206.553008352,43
28.7556,43.0725,265.838291013,1.42645228559,-61.8846,88.8696521103,9.76714,44,67.9068428841,58.5112,58.4816275479,394.240131663,157.018569491,27.9013126693,58.464,312.545583848,58.4715404281,0.438503,328.863176608,269.125437537,44
29.1984,43.7641,211.905719962,1.49593434927,-64.0534,33.3374662192,11.5235,45,110.039430433,60.6827,60.6546502628,410.083682333,147.651835439,71.5409793126,60.6308,289.432739302,60.6412620406,0.429719,370.767834306,213.776443857,45
29.6902,44.4628,242.262906085,1.59040720987,-66.046,65.5185301209,12.249,46,90.5563883069,62.6594,62.6259637556,275.997100285,144.387412568,5.84091190199,62.6015,261.371069336,62.6133086795,0.488648,392.39402361,257.399071052,46
30.0539,45.095,154.60097986,1.551525673,-68.1475,21.5658975513,11.2682,47,112.966531407,64.6888,64.6490069462,211.596786532,111.138816913,13.2806333002,64.6325,173.227149265,64.6369652945,0.570754,343.375365432,201.729120007,47
30.4415,45.8127,116.738944345,1.6919806769,-70.0553,100.851093691,13.9671,48,53.5156810616,66.4964,66.4628296112,168.416644627,104.497801502,6.65327224771,66.4379,159.940000585,66.4507925398,0.579617,291.156233401,179.385129604,48
30.7374,46.4418,128.026736575,1.71363580605,-72.2293,41.1706095631,14.8577,49,141.893475239,68.5567,68.5143289864,252.874031089,113.892732429,28.1118669653,68.4955,181.173244508,68.5007171091,0.523574,482.365264861,247.43536703,49
31.0438,47.0189,149.598313581,1.75961864689,-74.4886,8.81139891797,15.2057,50,84.4243139917,70.8187,70.781353058,397.697298399,132.109214867,42.8891585958,70.7609,234.715877218,70.771804886,0.591788,339.252811111,194.0066504,50
31.42,47.6134,258.093687682,1.79859808606,-76.7461,1.03667814664,15.4019,51,120.73042794,72.9517,72.9130313143,286.448879744,147.173256576,5.01796902399,72.894,270.825448951,72.9049510537,0.577547,318.826533076,177.438362561,51
31.714,48.1998,185.433097762,1.8402638254,-78.8245,6.44885436639,16.296,52,142.138692429,75.0043,74.9622649856,457.392987027,140.603008103,68.3726313039,74.9423,256.705197631,74.9521046396,0.565036,439.481933973,150.164376168,52
31.9436,48.8095,214.115787328,1.87334517881,-81.0077,35.9165336193,16.5132,53,110.460194166,77.2238,77.1843898237,320.266708754,150.847701569,13.1797518411,77.1683,276.674291781,77.1776501378,0.607411,344.227232086,220.411314165,53
32.2326,49.3939,266.707128729,1.90992200132,-83.1764,81.3800909153,18.1103,54,91.8817870189,79.3332,79.2902787159,453.559986874,171.162775053,46.6360758242,79.2728,387.308861076,79.2826634889,0.591294,320.612977428,215.674396834,54
32.5258,50.0034,99.4401953943,1.94481963815,-85.2824,88.8646842959,18.863,55,105.213591914,81.4062,81.3582593369,368.332532137,145.965976737,52.9653464163,81.3392,264.046259735,81.3509965647,0.655438,406.728055211,213.903396157,55
32.8227,50.6228,96.5479655493,2.04762813459,-87.6655,4.36139461267,20.7856,56,99.1340467484,83.7862,83.7442595926,419.788436194,123.657271917,101.553665801,83.7219,214.217086622,83.7334268018,0.640822,337.113398177,158.235396846,56
33.0339,51.2229,145.07509975,2.0337437374,-89.7302,13.3754530404,21.8733,57,128.394389285,85.7635,85.7195402953,421.586111919,171.804696967,52.357485537,85.6892,351.780574296,85.6977058847,0.602367,413.174529416,175.980263162,57
33.3473,51.8042,280.464432794,2.11955626795,-91.9669,38.2250077922,23.4621,58,121.93852234,87.977,87.9354504479,451.877708359,165.516684608,20.2157258141,87.9012,323.794041468,87.9146253892,0.622435,477.108886213,223.535912315,58
33.5802,52.4187,141.104216987,2.18743880738,-93.8273,7.7433647568,24.9202,59,128.941030041,89.8578,89.8009909055,350.136632389,122.929512067,56.2561760529,89.7751,204.682103055,89.7831471973,0.648794,494.869609808,164.193001949,59
33.7995,52.9421,291.88596523,2.17279665058,-96.0431,68.3858352966,22.3002,60,108.48055914,92.0257,91.9748654232,538.575487501,168.463978479,55.410207685,91.9342,343.686215523,91.9495368871,0.570853,415.179075076,255.736156251,60
34.0336,53.5573,211.580437653,2.26136713624,-97.9737,8.11250622349,24.3832,61,113.872168242,93.9519,93.8891927203,646.693793841,175.569290287,116.160519859,93.8537,379.898984737,93.8603940201,0.631858,320.413002969,145.584014252,61
34.2092,54.1199,275.661269969,2.36594527371,-100.424,10.4043059487,29.7682,62,136.614705671,96.332,96.2816463268,393.78642481,165.729715969,21.0917236746,96.2317,325.474383714,96.2501257913,0.603895,466.399320766,236.983400156,62
34.4884,54.7253,309.268471827,2.36598889392,-102.565,50.9496681808,26.6596,63,109.522930153,98.3565,98.3016074989,340.608248631,163.351878332,5.97587696739,98.2582,323.262643352,98.2718937788,0.634505,330.59934937,168.866342296,63
34.6581,55.2234,175.992187895,2.30387984183,-104.401,10.8077804452,24.9092,64,110.713408451,100.234,100.167968848,314.947406718,135.496528018,47.8898504039,100.133,239.492407611,100.142418958,0.62506,375.402144182,235.903640174,64
34.8955,55.7284,198.169727998,2.43762798966,-106.666,9.07969754907,27.1716,65,89.8185786692,102.381,102.312503224,271.282415975,137.063479491,19.8762263816,102.275,239.469996105,102.287462224,0.667584,357.185907505,180.624867366,65
35.196,56.3432,228.519277744,2.51722998981,-108.995,10.2334536094,31.0504,66,106.544379149,104.633,104.571444391,516.133937935,153.245348895,46.7008139639,104.534,289.543065911,104.549588842,0.60171,378.313028778,186.150829356,66
