AverageQ,AverageAbsY,QFunRegParamNorm,StdReturn,MaxReturn,MinReturn,AverageAbsQYDiff,MaxEsReturn,Epoch,AverageReturn,AverageQLoss,AverageAbsQ,PolicyRegParamNorm,Iteration,AverageEsReturn,AverageAction,AverageY,StdEsReturn,AveragePolicySurr,MinEsReturn,AverageDiscountedReturn
-0.73891,0.644785508471,11.1655,0.279096694338,12.929786257,11.4833210096,1.38358782593,211.300780644,9,12.2709129031,2.33719,0.73891,11.1826,9,14.3862578892,0.0384729,0.644678021556,17.1109666564,0.474356,1.1326247977,11.5139350599
0.388441,0.391047681387,11.2856,0.0802623228853,1.88087139437,1.45526119379,0.10042874783,8.79463458375,10,1.7049469944,0.0362894,0.389853,12.7533,10,2.9071416041,0.998983,0.390804278187,1.5524127825,-0.502208,-0.257852218605,1.71028917422
0.337739,0.338670845356,11.412,0.0807406858263,1.88210682087,1.49293336495,0.0507197503457,4.39035927611,11,1.70072363579,0.00755569,0.339195,13.3819,11,2.28335221127,0.999998,0.338334937442,0.592653005335,-0.417467,0.727440481966,1.70620238819
0.387893,0.388581076273,11.5037,0.0792467265223,1.90271885305,1.47852419653,0.0388967849789,4.79756871806,12,1.70165481046,0.00415065,0.391018,13.9452,12,2.37921796278,0.999999,0.388191282494,0.613806388055,-0.454206,0.882442038549,1.70708604863
0.400289,0.401568258296,11.6451,0.0422201720124,5.408467878,5.08350133529,0.03502628095,11.9343628691,13,5.29828970367,0.00318052,0.405507,14.8235,13,3.88825681848,0.999998,0.400534903242,2.54843453101,-0.464607,-2.26301550853,5.1371416565
0.42256,0.424826162712,11.7815,0.043072650305,5.41911992947,5.0806440218,0.0316745920708,32.1765040166,14,5.29562253001,0.00246408,0.428474,14.8453,14,6.96790270648,1.0,0.422744682141,3.43158834085,-0.500819,3.93305814082,5.13456662376
0.433167,0.436563793481,11.9484,0.044175194199,5.41338884419,5.09767010345,0.0266950772579,17.7152962337,15,5.29598065053,0.00174155,0.439239,14.8459,15,6.73980342465,1.0,0.433288145142,2.11357691515,-0.48596,4.6299864523,5.13495796386
0.403918,0.411705311948,12.0974,0.0414910912275,5.41749686316,5.09811651319,0.023405219217,14.8156088383,16,5.29875492868,0.00134235,0.413483,14.8466,16,6.79054289616,0.999999,0.403990367374,2.31922751418,-0.421131,3.97966985709,5.13748771419
0.394003,0.404041264996,12.2996,0.95935802802,41.8548585459,36.7863635003,0.0233749976769,60.7712275197,17,38.8209437229,0.00142566,0.405337,14.9074,17,29.1369079124,1.0,0.394124639944,17.6796875753,-0.489606,1.09753854682,34.4969473496
0.503949,0.50489501361,12.6087,2.03364083709,97.5535305532,87.3503636557,0.0248445147727,81.6666646228,18,91.7972148121,0.001988,0.50636,15.2263,18,45.6343163483,0.976552,0.504103745388,12.4640487375,-0.604527,8.38473161501,70.5964258057
0.563458,0.564224919312,13.0214,7.66025329163,148.80235849,117.015410828,0.0263876633055,124.132622861,19,132.812947126,0.00243693,0.565539,15.7812,19,82.2848537935,0.993167,0.563636295169,21.0188068937,-0.663683,49.6654844938,91.2073052517
