MaxEsReturn,StdEsReturn,AverageAction,MinEsReturn,AverageForwardProgress,PolicyRegParamNorm,Epoch,AverageReturn,AverageQLoss,QFunRegParamNorm,AverageY,MaxForwardProgress,AverageDiscountedReturn,MaxReturn,AverageQ,AverageAbsQYDiff,AveragePolicySurr,StdForwardProgress,AverageAbsY,AverageEsReturn,StdReturn,MinForwardProgress,MinReturn,AverageAbsQ
3.87344044365,15.1677623769,0.997266,-62.3095023094,0.158697495433,19.8789,10,-58.6756300123,0.0254319,22.2279,0.114893458696,0.57484336844,-18.8685698712,-16.9759922063,0.138841,0.0398822346816,-0.206853,0.137198891198,0.11583811117,-5.27252499785,13.6104303146,-0.102388724337,-84.3635386721,0.144748
-43.5648920871,6.45434923534,0.941897,-59.4629189631,0.0751835776875,19.8665,11,-62.8167741512,0.000524924,22.6627,0.239629352514,0.35063823302,-21.5624423589,-36.986827951,0.2402,0.00871706067945,-0.322024,0.192666916547,0.240553642577,-53.2460632265,17.8324244131,-0.195543117651,-88.1764526644,0.241023
-19.9965161412,26.6338423106,0.915659,-84.8962460746,-0.0228017636756,20.0704,12,-71.040178059,0.000414308,23.0213,0.266827251468,0.0231717369325,-25.0718993796,-66.3722635953,0.267148,0.00814350377318,-0.280672,0.0211323748456,0.268455926915,-58.9366985521,2.10982704292,-0.0686449699526,-75.6272352057,0.268545
-25.2269626892,16.8325000785,0.997098,-67.1893440364,-0.0185313243474,20.2464,13,-76.2511317683,0.00031716,23.4501,0.219968230532,0.086876997883,-28.3861520415,-65.7556996905,0.22004,0.00772443711979,-0.207394,0.0324152429399,0.225875100505,-54.0107578542,3.23141729169,-0.0959021620898,-83.9229385785,0.225643
-38.1138204335,18.2091524222,0.994734,-81.9756891963,0.0309811942154,20.4662,14,-71.0878738401,0.000374708,23.9827,0.182870023211,0.132977248726,-24.6699575678,-60.8824715554,0.183036,0.00857338266303,-0.169831,0.0422547964145,0.196359790165,-56.917201982,4.25273649455,-0.0640204944866,-80.745632647,0.19594
-60.4450292754,7.80980246852,0.996097,-82.4706469278,0.0462828557451,21.0286,15,-69.9738244499,0.000385697,24.4931,0.162925386367,0.153886557717,-23.7384463623,-59.2748321539,0.163044,0.00874587844148,-0.163295,0.0553691747847,0.180844085215,-70.8791129356,5.54143130943,-0.0655239212661,-81.243354389,0.180331
-56.9975689042,8.63111696324,0.994644,-81.0235751752,-0.0279708100487,21.4326,16,-77.143781314,0.000370829,24.9893,0.15030959612,0.0584528203684,-29.4698809905,-68.5465312336,0.150382,0.00831922072967,-0.152181,0.0385742925382,0.173133560183,-70.4563088589,3.87412814096,-0.135514988081,-87.8532454581,0.172632
-43.0726479556,14.8941961885,0.997602,-84.2655863342,0.0628600995627,21.8633,17,-68.2306240161,0.000430698,25.4836,0.150775629881,0.152734355985,-22.4848541526,-59.2119001938,0.150779,0.0086818925399,-0.165747,0.0445267639842,0.177338708779,-60.8790488274,4.4263918306,-0.0332293338657,-77.6636341624,0.176826
-58.8459836374,3.67257612546,0.997165,-68.0700834862,0.0155194505291,22.0238,18,-72.8090547352,0.000494043,25.9306,0.130170286287,0.126200855728,-25.7003033051,-61.9477916509,0.130201,0.00921821517576,-0.124926,0.0431803873649,0.160942633102,-61.7696540001,4.25993761851,-0.0945388897275,-83.4958392402,0.160147
-27.760739734,14.0079068529,0.969573,-64.9452577443,0.324564691258,22.1844,19,-38.6399468967,0.000570054,26.4535,0.11421609494,0.589731699899,-8.74181171106,-13.0271853842,0.114234,0.00996298090856,-0.1131,0.154265927374,0.150776514582,-41.7117763552,15.2533610538,-0.0496434753057,-76.3259523511,0.149873
