AverageAbsY,AverageEsReturn,AverageAbsQYDiff,AverageReturn,AverageAction,MinReturn,MaxReturn,MaxEsReturn,QFunRegParamNorm,StdEsReturn,AverageAbsQ,AveragePolicySurr,StdReturn,AverageQLoss,AverageQ,PolicyRegParamNorm,Epoch,Iteration,AverageDiscountedReturn,MinEsReturn,AverageY
0.373268568867,17.0051083317,1.07144799443,14.9034017755,0.0426212,13.855534651,15.3465602854,139.171878655,11.0968,15.8610773574,0.726724,0.486431,0.420110312587,1.4174,-0.726724,11.1942,9,9,13.8616758102,2.71361895411,0.34472412184
0.209608081566,4.60179238419,0.0522777911639,5.43949109678,0.94087,5.33919518232,5.57740759753,15.4631528051,11.1053,1.59889354955,0.209553,-0.261962,0.053618364202,0.0107126,0.196792,12.6378,10,10,5.29467498695,2.96250236129,0.198866639885
0.305507050222,13.8818883375,0.046931425807,8.06446636355,0.920457,7.1905715672,8.91348021419,52.9646180083,11.257,10.0211583395,0.306203,-0.359544,0.655433074201,0.00619494,0.299037,13.9776,11,11,7.77182235378,-1.24785499582,0.299772294488
0.451121378915,18.3825402904,0.0422022841098,85.034981813,0.913787,79.6676176248,88.4282913519,103.815263863,11.5867,16.3462975893,0.451631,-0.523721,1.76635019718,0.00570662,0.448605,14.8391,12,12,67.1327544327,5.40079214401,0.449031412533
0.601706142362,93.8240454208,0.040493962808,173.640172303,0.9684,169.922921367,177.114024385,189.207271296,11.9893,48.8633524983,0.602674,-0.687825,1.73124499562,0.00543498,0.599863,15.4439,13,13,112.288165152,16.8683470486,0.600243023205
0.769918072075,109.56945018,0.0442245981246,172.132862214,0.844731,164.825272666,176.205827696,175.716761303,12.4393,48.4240469608,0.770772,-0.86905,2.40886097945,0.00707439,0.767517,16.6108,14,14,111.266644471,10.4435479986,0.768175171925
0.950157766455,136.675730594,0.0470149227727,152.054036493,0.860069,149.301670295,155.802951308,189.789872367,12.9484,44.2154243467,0.951275,-1.05963,1.65245736553,0.00840407,0.948263,17.3721,15,15,102.752889359,67.1851354508,0.948608861119
1.12687467682,121.812262463,0.0509840405741,172.495986765,0.794809,165.220176911,178.511015475,168.59310767,13.434,45.2071129883,1.12793,-1.24441,3.29711635823,0.0112692,1.1251,18.3612,16,16,111.760596446,13.9589546838,1.12552062237
1.30755645354,138.874613269,0.0542947828468,138.75381722,0.768812,132.427150485,145.492511484,184.130892496,14.0402,36.1949397311,1.30816,-1.44426,2.72383487771,0.0131668,1.30578,19.3477,17,17,96.738082322,79.3987701052,1.30648213121
1.49224687048,133.507999825,0.059490271094,174.449825163,0.600982,171.951866894,177.654449712,181.787444908,14.6785,51.9786803784,1.49308,-1.62524,1.51243685685,0.015772,1.49092,20.2145,18,18,112.532557612,20.2006770851,1.49153875284
1.67120057089,156.609452714,0.0656907162263,171.993256675,0.419736,169.273493163,174.679461259,195.207414112,15.4106,49.8485021335,1.67193,-1.816,1.32988769319,0.0191713,1.67007,21.3897,19,19,110.434376815,5.85142116093,1.67061739039
1.85538947811,179.37051758,0.068456743133,176.176496262,0.425674,172.158090689,180.501198644,193.597389425,16.1232,14.2759885392,1.85601,-1.99962,1.77834737743,0.0207913,1.8542,22.4701,20,20,113.50156792,134.444346743,1.85489480048
2.03133199795,158.57190313,0.0718033466563,191.685385153,0.351558,174.700966113,208.696818715,216.10952085,16.7482,41.6317922431,2.03205,-2.18191,8.12616545172,0.0228825,2.03018,23.7892,21,21,118.908935311,65.1725717299,2.03090593586
2.22614862916,144.331994887,0.0798869189088,215.549426107,0.724159,200.902328861,232.541164594,200.723120022,17.4222,66.4431046539,2.22674,-2.38102,7.97258623435,0.0295402,2.22502,24.794,22,22,129.28778613,41.725620165,2.22572489313
2.41285451153,175.559673773,0.0835501720637,220.966460884,0.735048,203.753376451,237.578026395,297.148193699,18.0526,65.4034928037,2.41328,-2.57217,7.01834793217,0.0333394,2.41138,25.6081,23,23,131.691275762,49.6722822113,2.41231006361
2.6073873053,221.555715711,0.0969438762336,350.08869796,0.478793,337.294355621,368.101493935,326.29364302,18.7168,93.9091834899,2.60841,-2.77181,4.99586608492,0.0480682,2.60596,26.5067,24,24,158.426298911,33.0192390083,2.60672503241
2.82180985368,219.997861116,0.0952609709115,202.269943609,0.499973,195.97706553,206.833336788,370.234484447,19.2922,101.891267246,2.8223,-3.00369,2.13145713352,0.0463788,2.82014,26.9669,25,25,124.476947508,37.4947817358,2.82108740568
3.04490265075,222.709812176,0.104721833265,291.636846405,0.625276,286.471722049,301.759379217,331.830363972,19.9037,73.307802045,3.04577,-3.22856,2.71491132131,0.0581134,3.04361,27.4421,26,26,154.795712949,106.829704763,3.04437783846
3.28347604569,298.559456515,0.109481199248,354.51915567,0.481646,345.279281148,361.762798186,384.991498769,20.4913,59.750048472,3.28399,-3.47701,3.5259739985,0.065426,3.28146,27.8439,27,27,177.886618247,160.55264749,3.28274918948
3.51748260887,315.350609605,0.119091593822,422.736416594,0.576044,415.337255864,430.186110243,410.914293376,21.0519,94.7202475152,3.51848,-3.71619,3.16211611164,0.0749885,3.51558,28.3981,28,28,194.778976161,114.556513042,3.51656500548
3.76268333731,265.548890899,0.121988389605,449.849427621,0.501601,414.660634461,472.69936615,432.351390582,21.5349,118.701040606,3.76345,-3.95219,13.1641692337,0.0760013,3.76051,28.882,29,29,193.615647325,43.718490884,3.76177365425
