AverageDiscountedReturn,AveragePolicySurr,PolicyRegParamNorm,StdEsReturn,AverageQ,MinReturn,AverageAction,QFunRegParamNorm,MinEsReturn,AverageQLoss,MaxReturn,StdReturn,AverageReturn,Iteration,AverageEsReturn,AverageAbsQ,MaxEsReturn,AverageAbsY,AverageAbsQYDiff,Epoch,AverageY
118.675863555,-41.1409,29.5047,42.7883195144,39.1975,183.982409802,0.620675,37.343,47.3997824969,4.08064,194.763406395,2.68046024104,190.114789291,35,154.545192634,39.2213,199.864607754,39.2037645998,0.926498739618,35,39.2009469923
116.455703468,-42.7832,29.9698,24.6793642152,40.8106,168.294891029,0.613045,38.1132,120.148729393,4.55509,190.405214649,4.1368359718,184.559170924,36,175.029119888,40.8333,214.61415666,40.8168038244,0.944831146488,36,40.8145144926
117.137231012,-44.5122,30.3925,40.5659627651,42.5125,173.382362364,0.616481,38.8444,48.5919242591,4.5723,189.682262812,2.57753348104,185.912819294,37,174.529454803,42.535,212.76909111,42.5182981867,0.970874413544,37,42.5158368727
116.391030242,-46.0589,30.8116,46.4405471502,44.0346,180.080693068,0.652571,39.522,37.475673044,5.12124,186.838084021,1.34057657004,184.146629603,38,165.714528112,44.0616,235.557315858,44.0413580335,1.00728307797,38,44.03772413
117.398677953,-47.5858,31.1909,44.9611695643,45.6083,180.528846706,0.634192,40.2126,45.1478508126,5.87364,190.352257781,2.05915209648,186.760091995,39,152.143520066,45.637,214.51357043,45.6168558249,1.06770692077,39,45.6133133937
114.820727146,-49.2447,31.5675,43.8474348875,47.2211,174.042001754,0.624955,40.8295,87.7415955339,5.58617,188.192617862,3.13451028781,180.236552922,40,170.260156378,47.2483,223.489489833,47.2271006643,1.06301665095,40,47.2239974556
115.364883983,-50.7851,31.9324,62.620481571,48.6873,174.481590578,0.650651,41.4544,17.6076413572,5.74874,186.423330182,2.66065829992,181.997557224,41,149.223265981,48.7178,220.326014359,48.6946670108,1.06986889527,41,48.6918627226
117.447561835,-52.4777,32.2509,64.9495256695,50.4279,182.186732228,0.651874,42.0724,15.1316471609,6.54301,191.205450079,2.15416060997,186.599915018,42,151.600586059,50.457,206.231125602,50.4354760297,1.11451995031,42,50.4318029576
117.661819103,-54.0825,32.5966,34.9903412327,51.9913,183.587817781,0.688897,42.6404,96.183560397,6.70381,190.428893003,1.43684387741,186.772626263,43,176.782568061,52.0194,218.787314993,51.9990653384,1.13083402755,43,51.9962754378
117.022901765,-55.6475,32.9956,55.959871793,53.4637,180.351589622,0.719579,43.1861,52.0260503447,7.13379,190.095691044,2.19727653011,184.651405173,44,137.481128947,53.4938,208.662454107,53.4715048392,1.17081190278,44,53.4689263694
115.203438768,-57.329,33.4603,43.178938023,55.1777,178.189198003,0.65247,43.7446,78.9048953322,8.15134,184.506870909,1.23368099334,180.867479745,45,164.963732318,55.2137,213.514623567,55.1858053238,1.22967247154,45,55.182730737
117.56920956,-58.9765,33.7977,60.5303364549,56.7851,184.085479486,0.712963,44.3041,37.0249618092,8.45254,191.211424622,1.52813743097,186.983316772,46,152.939120589,56.8163,215.211726111,56.7939264866,1.231173201,46,56.7909662735
